,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
19,0,2.0168067226890756,0,0.3,1.0,1,-0.8848351961508584,0.105,-0.8692767220547916,0.116
30,10,2.8949579831932772,10,0.25,1.2,1,-0.8654352868205892,0.1025,-0.8648672115737859,0.093
12,20,1.4579831932773109,20,0.01,1.2,1,-0.9083184187636276,0.1025,-0.8524485070784319,0.098
26,30,2.57563025210084,30,0.3,0.75,1,-0.878258147833487,0.105,-0.8785759319841816,0.11
19,40,2.0168067226890756,40,0.23,1.5,1,-0.879446518147721,0.105,-0.870083054221307,0.122
24,50,2.4159663865546217,50,0.3,1.0,1,-0.8673442804693443,0.1075,-0.8557191740430331,0.132
23,60,2.3361344537815123,60,0.15,0.75,1,-0.8615573988428052,0.1075,-0.8623423444407878,0.128
23,70,2.3361344537815123,70,0.25,1.2,1,-0.8744196684217198,0.11,-0.8641990502338363,0.121
28,80,2.735294117647059,80,0.25,1.2,1,-0.8432981955756205,0.11,-0.8644560797790368,0.087
24,90,2.4159663865546217,90,0.3,1.0,1,-0.8777560734814253,0.1075,-0.8712476241770111,0.128
