,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
26,0,2.57563025210084,0,0.3,1.0,1,-0.8777722463131329,0.0575,-0.8627752492510544,0.056
44,10,4.012605042016807,10,0.2,0.75,1,-0.8600883199372802,0.055,-0.8558267461079329,0.048
14,20,1.6176470588235294,20,0.01,1.2,1,-0.9067730667033668,0.0575,-0.8626800450002663,0.053
38,30,3.533613445378151,30,0.3,0.75,1,-0.871762854838717,0.0575,-0.8717089427012826,0.059
30,40,2.8949579831932772,40,0.3,1.5,1,-0.8737755915165024,0.055,-0.8654643767901293,0.072
31,50,2.974789915966386,50,0.18,1.0,1,-0.8631308198226012,0.06,-0.8496480865321794,0.075
36,60,3.3739495798319323,60,0.23,1.2,1,-0.8583792295633599,0.055,-0.8539293303977356,0.104
27,70,2.6554621848739495,70,0.15,1.0,1,-0.8671924752030878,0.06,-0.8637356028746965,0.067
35,80,3.2941176470588234,80,0.25,1.2,1,-0.8421039850514969,0.06,-0.8615996485478867,0.049
36,90,3.3739495798319323,90,0.3,1.0,1,-0.8726412979363483,0.06,-0.867432486492208,0.067
