,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
19,0,2.0168067226890756,0,0.35,1.0,1,-0.8891395076842243,0.1525,-0.8772601373914631,0.15
30,10,2.8949579831932772,10,0.45,0.5,1,-0.8829688558764829,0.155,-0.8760331272538537,0.157
20,20,2.0966386554621845,20,0.45,1.0,1,-0.8807472380871676,0.145,-0.87194675620098,0.162
16,30,1.7773109243697478,30,0.33,0.75,1,-0.8876270960145906,0.155,-0.8743721306318435,0.169
21,40,2.176470588235294,40,0.35,1.0,1,-0.8833577153277156,0.1525,-0.8802923685970614,0.168
24,50,2.4159663865546217,50,0.4,0.75,1,-0.8797772596473504,0.1525,-0.8687615370045817,0.155
18,60,1.9369747899159664,60,0.4,1.2,1,-0.8760028350134363,0.1525,-0.881294561020291,0.168
18,70,1.9369747899159664,70,0.25,1.2,1,-0.8779827162212499,0.1575,-0.8678557518279532,0.164
33,80,3.134453781512605,80,0.33,0.75,1,-0.8479109487056806,0.1525,-0.8559029246923106,0.124
23,90,2.3361344537815123,90,0.4,0.5,1,-0.8826063617840609,0.155,-0.8742294780228582,0.179
