seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
10,0.0001,10,0.33,1.2,1,-0.9155684548551664,1.0,-0.9539184154523457,1.0,0.002621391
10,0.00021544346900318845,10,0.33,1.2,1,-0.9155684548759975,1.0,-0.953918415469145,1.0,0.002621391
10,0.00046415888336127773,10,0.33,1.2,1,-0.9155684548579498,1.0,-0.9539184154562027,1.0,0.002621391
10,0.001,10,0.33,1.2,1,-0.9155684548563372,1.0,-0.9539184154610549,1.0,0.002621391
10,0.002154434690031882,10,0.33,1.2,1,-0.9155684548392804,1.0,-0.9539184154515878,1.0,0.002621391
10,0.004641588833612777,10,0.33,1.2,1,-0.9155684548665832,1.0,-0.9539184154595218,1.0,0.002621391
10,0.01,10,0.33,1.2,1,-0.9155684564744615,1.0,-0.9539184111805966,1.0,0.002621391
10,0.021544346900318822,10,0.33,1.2,1,-0.9158812482981682,1.0,-0.9530904686731646,1.0,0.002621391
10,0.046415888336127774,10,0.33,1.2,1,-0.9136650295094957,0.9975,-0.9461956355390762,0.999,0.002621391
10,0.1,10,0.33,1.2,1,-0.9147035190061363,0.99,-0.9476707721540951,0.992,0.002621391
10,0.11,10,0.33,1.2,1,-0.9131955238519467,0.9875,-0.9488286615619145,0.99,0.002621391
10,0.14708333333333334,10,0.33,1.2,1,-0.9082273716074285,0.9825,-0.9533716364928312,0.981,0.002621391
10,0.18416666666666667,10,0.33,1.2,1,-0.9090176206211856,0.975,-0.9536511775726677,0.958,0.002621391
10,0.22125,10,0.33,1.2,1,-0.9095796020354142,0.935,-0.9539959324548591,0.94,0.002621391
10,0.25833333333333336,10,0.33,1.2,1,-0.9091258075349962,0.905,-0.9533242868468218,0.916,0.002621391
10,0.29541666666666666,10,0.33,1.2,1,-0.9105755617169804,0.8825,-0.9523327487709503,0.892,0.002621391
10,0.3325,10,0.33,1.2,1,-0.9076441431092721,0.87,-0.9493725468569881,0.863,0.002621391
10,0.3695833333333333,10,0.33,1.2,1,-0.9044690064154446,0.8275,-0.9462323426130151,0.843,0.002621391
10,0.4066666666666667,10,0.33,1.2,1,-0.9033850790764717,0.7975,-0.9452903109019315,0.813,0.002621391
10,0.44375000000000003,10,0.33,1.2,1,-0.900873609621843,0.75,-0.946903409606233,0.783,0.002621391
10,0.48083333333333333,10,0.33,1.2,1,-0.900187333024116,0.6925,-0.947023723098298,0.733,0.002621391
10,0.5179166666666667,10,0.33,1.2,1,-0.899727685328625,0.6275,-0.9470176395866067,0.67,0.002621391
