seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
70,0.0001,70,0.1,0.5,1.5,-419.21721103520997,1.0,-419.21715230295035,1.0,0.011534319,0.0,0.0,-428.8770002323857,-428.2258068107821,-428.22580183514305
70,0.0031622776601683794,70,0.1,0.5,1.5,-419.1570924061023,1.0,-419.15708738105855,1.0,0.011534319,0.0,0.0,-428.79414151293474,-428.1438363435584,-428.1438361129065
70,0.1,70,0.1,0.5,1.5,-417.2575222285849,0.995,-417.25752206514545,0.994,0.011534319,0.0,0.0,-426.1739043698287,-425.55168613313106,-425.5516862946416
70,0.11,70,0.1,0.5,1.5,-417.0613626051844,0.995,-417.06136232194206,0.994,0.011534319,0.0,0.0,-425.90332417617554,-425.28400634625325,-425.28400660624976
70,0.2094736842105263,70,0.1,0.5,1.5,-415.1100898250054,0.945,-415.1100896711394,0.948,0.011534319,0.0,0.0,-423.2117632515174,-422.6212968694341,-422.62129709499993
70,0.30894736842105264,70,0.1,0.5,1.5,-413.15881707070776,0.86,-413.158817043127,0.848,0.011534319,0.0,0.0,-420.520202550412,-419.9585876265451,-419.95858773032563
70,0.4084210526315789,70,0.1,0.5,1.5,-411.20754439252767,0.685,-411.20754410865356,0.706,0.011534319,0.0,0.002,-417.8286413642279,-417.2958778921025,-417.29587818713173
70,0.5078947368421053,70,0.1,0.5,1.5,-409.2562716614507,0.54,-409.2562715268493,0.532,0.011534319,0.005,0.004,-415.13708016104846,-414.6331681631266,-414.6331687088817
70,0.6073684210526316,70,0.1,0.5,1.5,-407.3049988911707,0.455,-407.30499873947997,0.426,0.011534319,0.005,0.008,-412.4455195129704,-411.97045895669294,-411.9704592853737
70,0.7068421052631578,70,0.1,0.5,1.5,-405.353725944731,0.33,-405.3537257547213,0.322,0.011534319,0.005,0.012,-409.75395884823337,-409.3077497076389,-409.30774990690793
70,0.8063157894736842,70,0.1,0.5,1.5,-403.4024532885669,0.24,-403.4024531505514,0.242,0.011534319,0.01,0.022,-407.06239797218217,-406.6450402981337,-406.6450404723432
70,0.9057894736842105,70,0.1,0.5,1.5,-401.11296617805056,0.19,-401.1370974399148,0.17,0.011534319,0.02,0.034,-404.3708370090877,-403.9823307872852,-403.9823310163812
70,1.0052631578947369,70,0.1,0.5,1.5,-398.3573869339404,0.14,-398.3572056411181,0.138,0.011534319,0.04,0.054,-401.6792760667208,-401.31962130200156,-401.31962155035836
70,1.1047368421052632,70,0.1,0.5,1.5,-395.29159567404594,0.1,-395.29606291267316,0.116,0.011534319,0.05,0.068,-398.98771522919685,-398.6569119082249,-398.65691212583266
70,1.2042105263157896,70,0.1,0.5,1.5,-392.0162876809777,0.09,-392.0295016727224,0.092,0.011534319,0.07,0.1,-396.2961543671036,-395.99420251738815,-395.99420271065435
70,1.3036842105263158,70,0.1,0.5,1.5,-388.74097963236767,0.06,-388.76294037427164,0.07,0.011534319,0.09,0.116,-393.6045932476765,-393.3314928784,-393.3314931998687
70,1.4031578947368422,70,0.1,0.5,1.5,-385.46567163788217,0.045,-385.49544026190665,0.052,0.011534319,0.11,0.148,-390.9130326622915,-390.6687837159032,-390.66878385030265
70,1.5026315789473685,70,0.1,0.5,1.5,-382.19036375867455,0.04,-382.22630407979335,0.03,0.011534319,0.135,0.188,-388.2214716499873,-388.0060741637769,-388.0060743633409
70,1.6021052631578947,70,0.1,0.5,1.5,-378.9150557107762,0.03,-378.9571677598779,0.024,0.011534319,0.19,0.216,-385.5299108189324,-385.3433647845751,-385.34336494129536
70,1.701578947368421,70,0.1,0.5,1.5,-375.6397476634969,0.02,-375.6880314306459,0.016,0.011534319,0.22,0.24,-382.8383498846143,-382.6806552892514,-382.6806554680783
70,1.8010526315789475,70,0.1,0.5,1.5,-372.3644396259499,0.015,-372.41889512854544,0.008,0.011534319,0.28,0.288,-380.1467888975912,-380.0179457557638,-380.0179459757173
70,1.9005263157894736,70,0.1,0.5,1.5,-369.0891314799284,0.01,-369.1497587215086,0.006,0.011534319,0.305,0.314,-377.4552281168611,-377.35523645914,-377.35523661624666
70,2.0,70,0.1,0.5,1.5,-365.8138234954299,0.005,-365.88062245904445,0.004,0.011534319,0.38,0.346,-374.7632475361942,-374.69205872872493,-374.6920589010335
70,2.05,70,0.1,0.5,1.5,-364.16750478857637,0.005,-364.23740591540025,0.002,0.011534319,0.39,0.366,-373.4091831062871,-373.35236159468565,-373.3523617395148
70,2.1857142857142855,70,0.1,0.5,1.5,-359.6948666668928,0.005,-359.7732708466644,0.002,0.011534319,0.445,0.406,-369.7273437300492,-369.70913223013645,-369.70913246748813
70,2.321428571428571,70,0.1,0.5,1.5,-355.20573514397273,0.005,-355.2929789775511,0.0,0.011534319,0.49,0.45,-366.02974903682525,-366.0501000469652,-366.05010030694143
70,2.457142857142857,70,0.1,0.5,1.5,-350.69527335308896,0.005,-350.79179214720807,0.0,0.011534319,0.53,0.478,-362.3146206314684,-362.37352620003475,-362.3735262705846
70,2.5928571428571425,70,0.1,0.5,1.5,-346.16715971422474,0.005,-346.2732657563411,0.0,0.011534319,0.575,0.518,-358.5856492593209,-358.6843600639166,-358.684360173697
70,2.7285714285714286,70,0.1,0.5,1.5,-341.6353233063528,0.0,-341.7504212704562,0.0,0.011534319,0.635,0.556,-354.84991494329273,-354.9881596401025,-354.98815981146953
70,2.8642857142857143,70,0.1,0.5,1.5,-337.10348702639845,0.0,-337.2272059657909,0.0,0.011534319,0.645,0.59,-351.11239968811975,-351.28992258417134,-351.28992278281174
70,3.0,70,0.1,0.5,1.5,-332.5716510191515,0.0,-332.7039377419042,0.0,0.011534319,0.675,0.624,-347.37465021552896,-347.59140962379735,-347.59140971691187
70,3.1,70,0.1,0.5,1.5,-329.23240330150344,0.0,-329.3710031355255,0.0,0.011534319,0.685,0.638,-344.6205188303436,-344.86618932466746,-344.8661894464366
70,3.7,70,0.1,0.5,1.5,-309.178846494736,0.0,-309.35569378505744,0.0,0.011534319,0.82,0.758,-327.88939325424764,-328.2925660825784,-328.29256624857135
70,4.3,70,0.1,0.5,1.5,-288.5436674686082,0.0,-288.7668997315506,0.0,0.011534319,0.865,0.842,-310.123191934324,-310.6571231648686,-310.65712324009763
70,4.9,70,0.1,0.5,1.5,-267.3315843673922,0.0,-267.59688482966465,0.0,0.011534319,0.91,0.892,-290.9778543790069,-291.59845237168355,-291.5984524224513
70,5.5,70,0.1,0.5,1.5,-245.10299895280974,0.0,-245.41664106417699,0.0,0.011534319,0.935,0.93,-270.5718516648392,-271.28325127053074,-271.28325129569004
