,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,test_prob_o,test_obj_o,0.25_test_obj_o,0.75_test_obj_o,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj,test_avg,test_avg_o,test_avg_mv,test_avg_pre,test_avg_dro,test_avg_scene
0,0.0,0.015200000000000002,-0.4270311876368719,-0.4516167136915573,-0.3977748223937844,0.0006000000000000001,-0.4223353420880119,-0.4402126902192201,-0.403153509304786,0.003,-0.4011944718376448,-0.41018682147014973,-0.3958281676032875,0.001,-0.5493573468319589,-0.5554128125864473,-0.5431133268811155,0.0035000000000000005,-0.37152854157645326,-0.38190048431097595,-0.3562399096370902,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8217187338647636,-0.8162884755272337,-0.8033400984690464,-0.7997634029850764,-0.8043422358693576,-0.8043981052574747
0,0.01,0.023299999999999998,-0.442941308495867,-0.45419489736910656,-0.4329655514734128,0.0048000000000000004,-0.3358909997355538,-0.3733313241706795,-0.28776354480188715,0.0082,-0.4016559042617369,-0.411700689892981,-0.39769930175576573,0.010499999999999999,-0.5493094339241458,-0.554292648763757,-0.5433958522842882,0.009199999999999998,-0.3708723679753757,-0.37956481100503475,-0.35590906771694164,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.821495834449067,-0.8070931616719639,-0.8056447196361247,-0.8042539417328479,-0.8062331051210727,-0.8043981052574747
0,0.02,0.0332,-0.45808752086074217,-0.47126277718063586,-0.44318494323934465,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.018099999999999998,-0.40193733892230454,-0.41252834765908064,-0.39835136388878944,0.022199999999999998,-0.5483915781625647,-0.5535757049007594,-0.5424679262924615,0.017599999999999998,-0.3702525553432451,-0.37753635005877256,-0.3554998235326774,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8226697512176301,-0.8053887088211011,-0.8074760484155583,-0.8060418302838057,-0.8076681184574277,-0.8043981052574747
0,0.03,0.040299999999999996,-0.46963701810513714,-0.48215428379685377,-0.4552518658008238,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.0289,-0.4018112754732268,-0.41245276039748735,-0.3981604224803826,0.0318,-0.547638244161861,-0.5527785808494905,-0.5420257109665407,0.030699999999999998,-0.3695030103221198,-0.3764446945211848,-0.3548523111585006,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8220059491541732,-0.8053887088211011,-0.8089536699085856,-0.8072994331626347,-0.8090820908783665,-0.8043981052574747
0,0.05,0.0489,-0.4778606593063439,-0.4961514544320041,-0.45891037258633444,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.0501,-0.4012917948609405,-0.41165534090188916,-0.3947357239428401,0.0529,-0.5453323999645779,-0.5511765048208396,-0.5395289337281165,0.052000000000000005,-0.3676288053500736,-0.3730111735108179,-0.35208286621893126,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8234212883325505,-0.8053887088211011,-0.8113954519516546,-0.809460949630323,-0.8112656448121784,-0.8043981052574747
0,0.08,0.0744,-0.47861971577665746,-0.49993234432143907,-0.4621738336391585,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.0794,-0.39989259079377265,-0.41005789210642307,-0.39163417735177775,0.07819999999999999,-0.5422252738442614,-0.5487220243777997,-0.53579490333229,0.0799,-0.3653015705122984,-0.3699979460370646,-0.34898087560383934,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8205664349886937,-0.8053887088211011,-0.8144153870100637,-0.8114580872282072,-0.8138160193437628,-0.8043981052574747
0,0.1,0.08959999999999999,-0.4831352187945928,-0.5029101029600184,-0.4623913837004235,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.1051,-0.3983772591058548,-0.40693452264231345,-0.3882310058062318,0.10010000000000001,-0.5387530617173104,-0.5458513125109477,-0.5305074904760362,0.10170000000000001,-0.3625943948933058,-0.3659442519129803,-0.3469608776132365,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.820319347751673,-0.8053887088211011,-0.8165460903838438,-0.8132511464096648,-0.816191669902279,-0.8043981052574747
0,0.12,0.10540000000000001,-0.48532920294128506,-0.5038209682112686,-0.46835815569215034,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.123,-0.3971786523916564,-0.4063187218899946,-0.38558245752122444,0.11800000000000002,-0.5356795328158015,-0.5431988965984099,-0.5268782767806731,0.11500000000000002,-0.3607642223888265,-0.3641552066168381,-0.346278103076797,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8206970548410084,-0.8053887088211011,-0.8183392318627771,-0.8145062210492375,-0.8176844222188538,-0.8043981052574747
0,0.15,0.1361,-0.4867906260426115,-0.5030044498952274,-0.4738944210957997,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.14550000000000002,-0.39482641577043215,-0.4039881779911693,-0.38118658758742213,0.15089999999999998,-0.5285449567756901,-0.5362141384331122,-0.5197415446934743,0.1455,-0.3562151102538118,-0.3597520305291844,-0.34319315675204615,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8211958191381529,-0.8053887088211011,-0.8207221559687149,-0.8172076055498521,-0.8209835147115191,-0.8043981052574747
0,0.18,0.1698,-0.48359071254166663,-0.5003798719779331,-0.46685437805853147,0.005,-0.3247531834333753,-0.3733313241706795,-0.2678989439457281,0.17579999999999998,-0.3905300075883347,-0.39932242127508905,-0.3767658795762043,0.1802,-0.520400544714281,-0.5305383183333472,-0.5150296199725217,0.17250000000000001,-0.35053555391699776,-0.35565598469061743,-0.3400536511315581,0.5760612137721962,0.34432415808147854,0.15296033968510014,-0.3084087802209097,0.3132857311408683,0.35847664836880094,-0.3165906992160207,-0.29844403680451953,-0.8213541054570955,-0.8053887088211011,-0.824216070337019,-0.8196057793089053,-0.824392533747542,-0.8043981052574747
