,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
15,0,0.4278571428571428,0,0.15,8.0,4,-0.5498129533814455,0.105,-0.5336391883125128,0.121,0.000374611,0.02,0.014,-0.5895663302335622,-0.5701854333572097,-0.8298051339896858
17,10,0.555,10,0.1,10.0,4,-0.544400006792224,0.1025,-0.5188237700490539,0.113,0.00031371,0.105,0.114,-0.544400006792224,-0.5188237700490539,-0.8292222129942022
17,20,0.555,20,0.09,8.0,4,-0.5210280384900907,0.1,-0.5133408033333264,0.076,0.000344149,0.095,0.118,-0.5111945421882106,-0.5034994857290646,-0.8203165172558067
17,30,0.555,30,0.1,10.0,4,-0.5137971318833563,0.11,-0.5140262597032348,0.095,0.000316929,0.1325,0.128,-0.5137971318833563,-0.5140262597032348,-0.8200092932084201
14,40,0.3642857142857142,40,0.05,5.0,4,-0.4848965853969142,0.095,-0.4870801966174318,0.102,0.00043585,0.01,0.009,-0.4064231088588378,-0.4115448071503319,-0.8185925297038115
16,50,0.4914285714285714,50,0.05,8.0,4,-0.4805299332308667,0.0975,-0.4691099726181175,0.097,0.000407008,0.085,0.074,-0.407261959702609,-0.4027852035701253,-0.8098976334834965
16,60,0.4914285714285714,60,0.08,8.0,4,-0.5399213601804583,0.0975,-0.530498644738406,0.1,0.000375929,0.0675,0.072,-0.5183158299154974,-0.5100718524859954,-0.8331209343751114
14,70,0.3642857142857142,70,0.05,8.0,4,-0.522854193119162,0.1,-0.5199286937974064,0.119,0.000441471,0.0275,0.023,-0.4590652588884916,-0.452700756079394,-0.8231038019838536
16,80,0.4914285714285714,80,0.15,10.0,4,-0.5545193492096409,0.1025,-0.5196411552011908,0.114,0.00040895,0.045,0.049,-0.5820686554060147,-0.5622074290714351,-0.8350343993862978
17,90,0.555,90,0.09,10.0,4,-0.5254993308767271,0.1,-0.5070205951254061,0.107,0.00036664,0.08,0.086,-0.5173736868224244,-0.4978845193911266,-0.8253908963790302
