,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
27,0,1.3,0,0.05,2.5,1,-0.4879215439366151,0.145,-0.4920726161079516,0.142,0.00039033,0.0225,0.026,-0.5852733011942408,-0.5828874493889799,-0.8279765103588604
49,10,3.5000000000000004,10,0.05,2.5,1,-0.5240222747832541,0.155,-0.5040498883874677,0.099,0.000383991,0.205,0.244,-0.5015779938797685,-0.4731842638021278,-0.833798221241316
59,20,4.5,20,0.05,2.5,1,-0.479260936737861,0.155,-0.487043125119037,0.147,0.000407831,0.1275,0.124,-0.420277261584067,-0.4341801757215929,-0.8144988011770763
49,30,3.5000000000000004,30,0.08,1.5,1,-0.4990602668287241,0.1575,-0.4695502682524847,0.124,0.00040125,0.12,0.138,-0.5534052166669619,-0.5223763468716184,-0.8223995919588446
28,40,1.4,40,0.05,1.5,1,-0.468138458040935,0.14,-0.4998681344185068,0.104,0.00045715,0.0,0.001,-0.579846652586215,-0.562590694172937,-0.823451723426239
71,50,5.700000000000001,50,0.05,2.5,1,-0.480999140647884,0.1475,-0.4565583978166164,0.158,0.000410431,0.4375,0.447,-0.4238246389705099,-0.4350650273520436,-0.7978793299958057
25,60,1.1,60,0.05,1.5,1,-0.4727356240204564,0.145,-0.4869268796257447,0.138,0.000403541,0.0,0.006,-0.5967198595516485,-0.5927165376056783,-0.8193040938695146
34,70,2.0,70,0.1,1.0,1,-0.4692358374476553,0.155,-0.4591423270893352,0.159,0.000365341,0.0075,0.002,-0.631774268783114,-0.6199988102159153,-0.826362780241743
32,80,1.8000000000000005,80,0.05,2.5,1,-0.5148387546323513,0.1425,-0.5057234781787735,0.148,0.000382221,0.005,0.007,-0.6077654907917281,-0.6021092244818012,-0.8139686389952427
29,90,1.5,90,0.05,1.5,1,-0.4819948618505685,0.155,-0.506971145430197,0.142,0.0004608,0.005,0.012,-0.6042987537559525,-0.6131418998277809,-0.8323185001168858
