,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
21,0,0.8092857142857143,0,0.15,8.0,4,-0.5588934333761975,0.0425,-0.5407646156942016,0.041,0.000374611,0.315,0.306,-0.5953567253095601,-0.5748816338284721,-0.8237063227561083
20,10,0.7457142857142857,10,0.1,10.0,4,-0.5466615660251625,0.0475,-0.5226087807064531,0.065,0.00031371,0.36,0.344,-0.5466615660251625,-0.5226087807064531,-0.8272853246069588
21,20,0.8092857142857143,20,0.09,8.0,4,-0.5270973075778804,0.0425,-0.5197514502211505,0.031,0.000344149,0.385,0.439,-0.5175366480220319,-0.5098186202517236,-0.8174432205390016
21,30,0.8092857142857143,30,0.1,10.0,4,-0.5180535177374115,0.0425,-0.5169857092524919,0.033,0.000316929,0.425,0.42,-0.5180535177374115,-0.5169857092524919,-0.8189457922816233
17,40,0.555,40,0.05,5.0,4,-0.4980492995137333,0.045,-0.4996211814146774,0.048,0.00043585,0.1475,0.158,-0.4229303574465783,-0.4277737771475626,-0.8150729992416155
19,50,0.6821428571428572,50,0.1,10.0,4,-0.487246834116553,0.0425,-0.4828834906083089,0.05,0.00042695,0.2575,0.284,-0.4872468341165531,-0.4828834906083089,-0.8194032037721527
19,60,0.6821428571428572,60,0.08,8.0,4,-0.5438047200047131,0.0425,-0.5341657905247125,0.047,0.000375929,0.24,0.273,-0.5229662112600701,-0.5137224375602728,-0.8312966635654306
19,70,0.6821428571428572,70,0.12,8.0,4,-0.5318442207411084,0.05,-0.5245089888000171,0.043,0.000397259,0.2225,0.212,-0.5463246930891018,-0.5411556353607396,-0.8257538811125912
20,80,0.7457142857142857,80,0.15,10.0,4,-0.5612900327539377,0.05,-0.5237734904650543,0.051,0.00040895,0.3125,0.293,-0.586248491770672,-0.5653195497735544,-0.8329490824372017
20,90,0.7457142857142857,90,0.09,10.0,4,-0.5313170454256839,0.045,-0.5109125870637938,0.063,0.00036664,0.2575,0.267,-0.523599647159822,-0.5024147364121966,-0.822350074714106
