,mean_eta,mean_init_rho,mean_valid_obj,mean_valid_prob,mean_test_obj,mean_test_prob,0.25_eta,0.25_init_rho,0.25_valid_obj,0.25_valid_prob,0.25_test_obj,0.25_test_prob,0.75_eta,0.75_init_rho,0.75_valid_obj,0.75_valid_prob,0.75_test_obj,0.75_test_prob
0,0.05,1.0,-233.25150394766473,0.28496,-231.97632644612875,0.28227199999999997,0.05,1.0,-292.1438637254631,0.07,-291.21505956938324,0.052,0.05,1.0,-181.79247543002776,0.43,-180.16795762814024,0.427
1,0.1,1.0,-363.8414377581366,0.07704000000000001,-363.30895598332836,0.068272,0.1,1.0,-384.57182339920774,0.03,-384.03041546045165,0.02,0.1,1.0,-344.7547386704471,0.1,-344.33692294772743,0.08
2,0.15,1.0,-371.19583503362315,0.04368,-370.76921773262643,0.036112000000000005,0.15,1.0,-388.8059331170477,0.01,-388.49372804297144,0.012,0.15,1.0,-354.4173931249472,0.06,-354.0363469129988,0.055
3,0.2,1.0,-376.86251552588305,0.04616000000000001,-376.6020031124276,0.038896,0.2,1.0,-392.82609601129644,0.01,-392.6299851918328,0.012,0.2,1.0,-361.53605914468216,0.06,-361.11795075199177,0.056
4,0.25,1.0,-383.4938735110582,0.053439999999999994,-383.25468751144814,0.043696,0.25,1.0,-397.99670446535436,0.01,-397.6932873942848,0.008,0.25,1.0,-369.86005889158764,0.07,-369.6584471488776,0.055
5,0.3,1.0,-388.8698645494286,0.0668,-388.67537476856313,0.055568,0.3,1.0,-401.9410467001654,0.02,-401.70601795146996,0.012,0.3,1.0,-376.49556574556163,0.1,-376.2200671536085,0.067
6,0.33,1.0,-390.6111338649974,0.07508,-390.4523715198465,0.061183999999999995,0.33,1.0,-403.41925909747454,0.02,-403.2161189449233,0.012,0.33,1.0,-378.9203918025131,0.1175,-378.7070813324949,0.083
7,0.35,1.0,-391.99811090580727,0.07872,-391.81993928399794,0.064976,0.35,1.0,-404.37227952804744,0.02,-404.27270901162075,0.016,0.35,1.0,-380.7940569818105,0.1275,-380.6832444025824,0.087
8,0.4,1.0,-394.7013402325974,0.0842,-394.5677106741601,0.071104,0.4,1.0,-406.26153765640277,0.02,-406.1570759150826,0.013000000000000001,0.4,1.0,-383.66119047649386,0.13,-383.5086806495755,0.1
