seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
50,0.0001,50,0.2,1,1.5,-0.4718509408289342,0.515,-0.41046988076191676,0.518,0.002034558,0.0,0.0,-0.9477347848551119,-0.9400015049298597,-0.9213828171124575,-0.9380965931940453,-0.026628385778017315,-0.01852647143171428
50,0.00016378937069540646,50,0.2,1,1.5,-0.4718509401280911,0.515,-0.41046987856669637,0.518,0.002034558,0.0,0.0,-0.94766276735124,-0.9399301795235347,-0.9213828170174956,-0.9380965932197405,-0.026628385701576336,-0.018526472019004172
50,0.00026826957952797245,50,0.2,1,1.5,-0.4718509401767099,0.515,-0.4104698783017057,0.518,0.002034558,0.0,0.0,-0.9475448099144118,-0.939813355682421,-0.9213828170865043,-0.9380965931899076,-0.026628385760544722,-0.01852647162194682
50,0.00043939705607607906,50,0.2,1,1.5,-0.4718509402328407,0.515,-0.4104698785382656,0.518,0.002034558,0.0,0.0,-0.947351608762887,-0.9396220112452854,-0.9213828170947028,-0.9380965932504565,-0.02662838571882567,-0.018526471751726097
50,0.0007196856730011522,50,0.2,1,1.5,-0.47185094082235907,0.515,-0.4104698783048721,0.518,0.002034558,0.0,0.0,-0.9470351652301993,-0.939308608775953,-0.9213828170926416,-0.9380965932384446,-0.026628385848441145,-0.018526471651401238
50,0.0011787686347935866,50,0.2,1,1.5,-0.47185094083245355,0.515,-0.4104698782523363,0.518,0.002034558,0.0,0.0,-0.9465168647101934,-0.9387952891603552,-0.9213828171282087,-0.9380965932371601,-0.026628385629452217,-0.018526471266807457
50,0.0019306977288832496,50,0.2,1,1.5,-0.4718509403239231,0.515,-0.41046987900777315,0.517,0.002034558,0.0,0.0,-0.945667943334351,-0.9379545260910425,-0.9213828170849875,-0.9380965932260212,-0.026628385500017043,-0.018526471427946525
50,0.0031622776601683794,50,0.2,1,1.5,-0.4718509401600193,0.5125,-0.41046988015932856,0.516,0.002034558,0.0,0.0,-0.9442774999951751,-0.9365774451459233,-0.921382817061513,-0.9380965931446834,-0.026628385926090896,-0.01852647174525535
50,0.005179474679231213,50,0.2,1,1.5,-0.4718509405801959,0.5025,-0.41046987873918944,0.513,0.002034558,0.0,0.0,-0.9420001022246736,-0.9343219334725915,-0.9213828170321909,-0.9380965931541968,-0.02662838661174151,-0.01852647237512917
50,0.008483428982440717,50,0.2,1,1.5,-0.4718509411686103,0.5,-0.41046988002593526,0.512,0.002034558,0.0,0.0,-0.9382699665318096,-0.9306276450063292,-0.9213828171187923,-0.9380965931859159,-0.026628385640950512,-0.01852647125707877
50,0.013894954943731374,50,0.2,1,1.5,-0.4718509401969864,0.4925,-0.4104698798655157,0.507,0.002034558,0.0,0.0,-0.9321604009622839,-0.9245767933090708,-0.9213828170760145,-0.9380965931418682,-0.026628386186278715,-0.018526471951757488
50,0.022758459260747887,50,0.2,1,1.5,-0.4749257385853226,0.46,-0.45139866577904275,0.485,0.002034558,0.0,0.0,-0.922316262901657,-0.9148689671989941,-0.9187346824840472,-0.9387313428413337,-0.044417629838583765,-0.06861719686448427
50,0.03727593720314938,50,0.2,1,1.5,-0.47492573863396687,0.4475,-0.4591563494455176,0.467,0.002034558,0.0,0.0,-0.9066139954615164,-0.8994892579267412,-0.9174015504808664,-0.9383159020625178,-0.04428836606738297,-0.0696241760746204
50,0.061054022965853265,50,0.2,1,1.5,-0.47472138718707746,0.435,-0.4513986670900292,0.442,0.002034558,0.0,0.0,-0.8812779083592431,-0.8747595363166539,-0.9170661387392944,-0.9374792214205951,-0.04449084447284156,-0.07002847666150071
50,0.1,50,0.2,1,1.5,-0.5317754300963647,0.3775,-0.5057695090891056,0.384,0.002034558,0.0,0.0,-0.8424925787952481,-0.8365564122946454,-0.919397163601992,-0.9330274946237691,-0.21146874304866686,-0.17167843474707428
50,0.11,50,0.2,1,1.5,-0.5549957061434323,0.3725,-0.5282739554289442,0.362,0.002034558,0.0,0.0,-0.8332779270316952,-0.8273766674124233,-0.9191889055079252,-0.931847545744122,-0.2256561742796633,-0.1879895766512229
50,0.1568421052631579,50,0.2,1,1.5,-0.581144130630703,0.295,-0.5859416842783537,0.292,0.002034558,0.0,0.0,-0.7924155075160432,-0.7873696996066217,-0.9232853975218189,-0.9320414051059852,-0.3188907069730767,-0.2884832116418919
50,0.2036842105263158,50,0.2,1,1.5,-0.6440152731717749,0.2325,-0.6253892666879449,0.234,0.002034558,0.0,0.0,-0.7557015456405896,-0.7521698512432353,-0.9259462537279489,-0.9267819780825626,-0.40318393841053857,-0.37615550452388646
50,0.25052631578947365,50,0.2,1,1.5,-0.6938796204956161,0.165,-0.666583020898517,0.169,0.002034558,0.0,0.0,-0.7232972872280007,-0.7213792975111258,-0.9261267271488233,-0.9248565776969644,-0.45513725448834136,-0.43329557121504136
50,0.29736842105263156,50,0.2,1,1.5,-0.7234686837724631,0.14,-0.6988515603469778,0.135,0.002034558,0.0,0.0,-0.6955169073766402,-0.6946518821215895,-0.9264092958768151,-0.9239621334542742,-0.4696068237446781,-0.4482595594693563
50,0.34421052631578947,50,0.2,1,1.5,-0.7512217046706151,0.105,-0.7277271347385023,0.105,0.002034558,0.0,0.0,-0.6718294965404232,-0.6717282504364203,-0.9246594548340373,-0.9211239429976984,-0.5505010349780526,-0.5361827249160699
50,0.3910526315789473,50,0.2,1,1.5,-0.7679266609724091,0.0825,-0.7278128402709159,0.081,0.002034558,0.0,0.0,-0.6523783931199791,-0.6527849504187356,-0.9224642100550849,-0.920281327930515,-0.5697087161695209,-0.5486336123182592
50,0.4378947368421052,50,0.2,1,1.5,-0.788973619494829,0.06,-0.7715755326460323,0.058,0.002034558,0.0,0.0,-0.6356663231500763,-0.6363062172396833,-0.9244095609289275,-0.9204896876410517,-0.6371305779804617,-0.611567294034395
50,0.48473684210526313,50,0.2,1,1.5,-0.7941304439467438,0.055,-0.7817122643616344,0.049,0.002034558,0.0,0.0,-0.6202631138599792,-0.6210369477724111,-0.9246821180122302,-0.920201532414675,-0.640700066468036,-0.6147790780611739
50,0.531578947368421,50,0.2,1,1.5,-0.7999416392561596,0.05,-0.7882418924511212,0.043,0.002034558,0.0,0.0,-0.6053568972272438,-0.6062215942085237,-0.9244676202460412,-0.9198375789085544,-0.6424323519931522,-0.6168504170252233
50,0.578421052631579,50,0.2,1,1.5,-0.8034608820976643,0.0425,-0.7928895466969577,0.04,0.002034558,0.0,0.0,-0.590767889250138,-0.5916991467198515,-0.9242367054222013,-0.9195974052736967,-0.6450714714783669,-0.6202528155066427
50,0.6252631578947369,50,0.2,1,1.5,-0.8041728438218552,0.04,-0.7966802586666178,0.037,0.002034558,0.0,0.0,-0.5764093449592893,-0.5773878885402138,-0.9240602760090161,-0.9194512901941075,-0.646913977952628,-0.6226635376232369
50,0.6721052631578947,50,0.2,1,1.5,-0.8072545642290868,0.04,-0.8014432766378922,0.032,0.002034558,0.0,0.0,-0.5622193956675757,-0.5632312644117972,-0.9239226913271117,-0.9193236368287151,-0.6482152861235989,-0.6243756315152803
50,0.7189473684210526,50,0.2,1,1.5,-0.8109063388436911,0.035,-0.8072078810840703,0.029,0.002034558,0.0,0.0,-0.5481560949792348,-0.5491911354087736,-0.9238079164509769,-0.9192136413645764,-0.6489837669717,-0.6256496652139888
50,0.7657894736842105,50,0.2,1,1.5,-0.8127708937001391,0.03,-0.807622953054348,0.026,0.002034558,0.0,0.0,-0.5341912297634483,-0.5352417158070262,-0.9237137478480477,-0.9191162721080022,-0.6495773987913659,-0.6265019877547052
50,0.8126315789473684,50,0.2,1,1.5,-0.8144175054616875,0.025,-0.8076579221780563,0.024,0.002034558,0.0,0.0,-0.5203048610851422,-0.5213647159335038,-0.9236347600996017,-0.9190299050333517,-0.6500447331647214,-0.6271390295891265
50,0.8594736842105263,50,0.2,1,1.5,-0.8140189337060342,0.0225,-0.80631602999004,0.024,0.002034558,0.0,0.0,-0.5064822658006649,-0.5075466064980424,-0.923567356098118,-0.9189528627019186,-0.6502891353135261,-0.6276243406854346
50,0.9063157894736842,50,0.2,1,1.5,-0.8130671184755708,0.0175,-0.8085552471192068,0.022,0.002034558,0.0,0.0,-0.492712289222109,-0.4937771221522342,-0.9235090382477018,-0.9188837594302494,-0.6504970586592754,-0.6280352632127977
50,0.9531578947368421,50,0.2,1,1.5,-0.8122155327876537,0.0175,-0.8087980436797078,0.022,0.002034558,0.0,0.0,-0.4789862997306918,-0.4800483106955811,-0.9234579489522068,-0.9188214960783169,-0.6506876951206365,-0.6283793652379079
50,1.0,50,0.2,1,1.5,-0.8146553423128894,0.0175,-0.8111529790686368,0.019,0.002034558,0.0,0.0,-0.46529818693614444,-0.46635476195168263,-0.9234211688245693,-0.9187438997274606,-0.6508635235591705,-0.628668704627995
50,1.1,50,0.2,1,1.5,-0.8214214308202454,0.015,-0.812124591732261,0.019,0.002034558,0.0,0.0,-0.43619230616412785,-0.43723350832633495,-0.9233746965856662,-0.918563944104972,-0.6511573190994352,-0.6290723976541058
50,1.1827586206896552,50,0.2,1,1.5,-0.822633492765584,0.01,-0.8129721170756556,0.017,0.002034558,0.0,0.0,-0.41220199140801855,-0.4132273794655145,-0.9233511441937339,-0.9184470280767453,-0.6512312708884315,-0.6292683891103137
50,1.2655172413793103,50,0.2,1,1.5,-0.8220741386344146,0.01,-0.8141989517302709,0.017,0.002034558,0.0,0.0,-0.3883262721127964,-0.38931736526455096,-0.9230848205169363,-0.9182669869845399,-0.6513358673345986,-0.6296696449350823
50,1.3482758620689657,50,0.2,1,1.5,-0.8126899607015754,0.01,-0.8152719905344727,0.015,0.002034558,0.0,0.0,-0.3647670813374609,-0.36565528388543644,-0.9226375133625854,-0.9178876011731855,-0.6500406681813455,-0.6299851588643932
50,1.4310344827586208,50,0.2,1,1.5,-0.806920531403461,0.01,-0.8088538098378444,0.015,0.002034558,0.0,0.0,-0.3414924056754534,-0.3422223789767452,-0.9222757217195646,-0.9175807188598917,-0.647480147370641,-0.6293194016089186
50,1.513793103448276,50,0.2,1,1.5,-0.788144319745407,0.01,-0.791318004854898,0.014,0.002034558,0.0,0.0,-0.31877554565697214,-0.31931684257475884,-0.9205577460795888,-0.9159035333303797,-0.6289684207560015,-0.6072814580622435
50,1.5965517241379312,50,0.2,1,1.5,-0.7140223484294096,0.01,-0.7567162911253197,0.013,0.002034558,0.0,0.0,-0.29718263077580176,-0.29740734612045455,-0.9100508055156089,-0.9150780930694234,-0.5435084978103973,-0.5521088885583066
50,1.6793103448275863,50,0.2,1,1.5,-0.6889187211622241,0.0125,-0.7474296675396825,0.015,0.002034558,0.0,0.0,-0.2767097292588551,-0.2764900360709494,-0.9030686459594278,-0.9136133135806845,-0.4703912218887255,-0.5064804142952124
50,1.7620689655172415,50,0.2,1,1.5,-0.6908762613409275,0.0175,-0.7253340511934941,0.016,0.002034558,0.0,0.0,-0.25685498694525694,-0.25611828083381716,-0.8994501740867281,-0.9123299933604274,-0.4353654345171783,-0.48242602272020063
50,1.8448275862068966,50,0.2,1,1.5,-0.6721129093488972,0.015,-0.7072093711222469,0.017,0.002034558,0.0,0.0,-0.23761336109423956,-0.2363854845917253,-0.8918804372319569,-0.9072846751260791,-0.4103363742547698,-0.4612150735676151
50,1.9275862068965517,50,0.2,1,1.5,-0.6468057456088818,0.02,-0.6065308909176182,0.031,0.002034558,0.0,0.0,-0.21919719022547784,-0.21768577800375782,-0.8748376921394325,-0.8932645572622082,-0.30921178786986603,-0.2556209726204679
50,2.010344827586207,50,0.2,1,1.5,-0.6420566258493688,0.025,-0.594840314712279,0.032,0.002034558,0.0,0.0,-0.20216444095743527,-0.2010338018943197,-0.8632367047408362,-0.8853351298222433,-0.3011555859972346,-0.2244587391878528
50,2.093103448275862,50,0.2,1,1.5,-0.6059267456417701,0.025,-0.5631822672015475,0.031,0.002034558,0.0,0.0,-0.18577675558378742,-0.1849778981622552,-0.8560067180346058,-0.8807093425019684,-0.2832474784082308,-0.20551350587140088
50,2.1758620689655173,50,0.2,1,1.5,-0.6157540519265836,0.025,-0.550331220248357,0.031,0.002034558,0.0,0.0,-0.1699964552664416,-0.16955671049241897,-0.8508490606139039,-0.8740996504688705,-0.28607055033492595,-0.1914814108471712
