,mean_eta,mean_init_rho,mean_valid_obj,mean_valid_prob,mean_test_obj,mean_test_prob,mean_nonrob_prob,mean_nonrob_obj,mean_scenario_probs,mean_scenario_obj,0.25_eta,0.25_init_rho,0.25_valid_obj,0.25_valid_prob,0.25_test_obj,0.25_test_prob,0.25_nonrob_prob,0.25_nonrob_obj,0.25_scenario_probs,0.25_scenario_obj,0.75_eta,0.75_init_rho,0.75_valid_obj,0.75_valid_prob,0.75_test_obj,0.75_test_prob,0.75_nonrob_prob,0.75_nonrob_obj,0.75_scenario_probs,0.75_scenario_obj
0,0.01,1.0,-0.7432230691488951,0.04307291666666667,-0.744428750397785,0.03805,0.6569344025701608,-0.8960880913889674,0.372952412567968,-0.8548880402717077,0.01,1.0,-0.8117180975796912,0.0,-0.8268547423981155,0.0,0.6462837005464998,-0.9039489150619561,0.36044657517537737,-0.8570483315347428,0.01,1.0,-0.7001660093440113,0.003125,-0.7095993633292511,0.002,0.6701957597968997,-0.8867729351782052,0.37502418079097233,-0.854102366949745
1,0.05,1.0,-0.8173296645404924,0.11388333333333334,-0.8167505075005159,0.11309,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.05,1.0,-0.8246004194974443,0.02,-0.825870888983473,0.02275,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.05,1.0,-0.8083332427847335,0.09375,-0.8074088028016186,0.07675,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
2,0.1,1.0,-0.876614744487062,0.15516666666666665,-0.8770232570621472,0.15390333333333334,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.1,1.0,-0.8830551804082478,0.0,-0.8837005472543047,0.0,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.1,1.0,-0.8702584809182737,0.050625,-0.8700063602125944,0.05675,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
3,0.15,1.0,-0.894080175812611,0.18671666666666667,-0.8947446459877034,0.18349,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.15,1.0,-0.8997889065942537,0.0025,-0.9005312301843422,0.0,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.15,1.0,-0.8882181542511166,0.08875,-0.888797807771412,0.09525,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
4,0.18,1.0,-0.9001571830746654,0.18611666666666668,-0.9006596053592139,0.18481999999999998,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.18,1.0,-0.9073315256293806,0.0025,-0.9073215795599525,0.002,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.18,1.0,-0.8936682201997954,0.08625,-0.8944441200630866,0.0885,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
5,0.2,1.0,-0.9017419562443207,0.18610833333333335,-0.9018509889794593,0.18631666666666669,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.2,1.0,-0.9090322454572304,0.005,-0.909266168725741,0.00275,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.2,1.0,-0.8962195372167229,0.108125,-0.8956829236695971,0.107,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
6,0.23,1.0,-0.9050482256578792,0.20250833333333332,-0.9061688980393289,0.20208666666666666,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.23,1.0,-0.9123033795509357,0.0075,-0.9134064876355157,0.011,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.23,1.0,-0.898646574517968,0.15812500000000002,-0.9000932128826566,0.14375000000000002,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
7,0.25,1.0,-0.9038505111123916,0.19125,-0.9043040518742594,0.19489666666666666,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.25,1.0,-0.912987235902673,0.005,-0.9132113390317799,0.008749999999999999,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.25,1.0,-0.8966094748015359,0.125625,-0.8968255886509569,0.12775,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
8,0.3,1.0,-0.9102194696905811,0.19026666666666667,-0.911513900943781,0.18657666666666667,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.3,1.0,-0.9167082157240846,0.0025,-0.9184439285974576,0.002,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.3,1.0,-0.9048944838308355,0.16312500000000002,-0.9059996072034915,0.14875,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
9,0.33,1.0,-0.9120157840531177,0.20761666666666667,-0.9136999740238343,0.19937333333333332,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.33,1.0,-0.9187641020588944,0.0175,-0.9204533228963017,0.01075,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.33,1.0,-0.9058583026609174,0.17812499999999998,-0.9079602196088884,0.17025,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
10,0.35,1.0,-0.9126089942739922,0.18761666666666665,-0.9142272325242343,0.18271666666666667,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.35,1.0,-0.9205015270532766,0.02,-0.9217462763982304,0.015,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.35,1.0,-0.9070358381559708,0.15,-0.9084661796303959,0.14925,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
11,0.4,1.0,-0.9141530904457404,0.18275,-0.9145917907649864,0.17909666666666665,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.4,1.0,-0.9226507424635088,0.0125,-0.9235198971987895,0.007,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.4,1.0,-0.9067159609314208,0.17562499999999998,-0.9067690085288551,0.17475,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
12,0.45,1.0,-0.912384642561732,0.20120833333333332,-0.9138355653645878,0.19282666666666667,0.6586065210209429,-0.8900872496898129,0.3758133047898289,-0.8530994182256056,0.45,1.0,-0.9194535223958341,0.0375,-0.9216779084050567,0.02375,0.6523509532850563,-0.8992460088015488,0.3608201247879524,-0.8563818148566822,0.45,1.0,-0.9052749834505904,0.233125,-0.9067192251778938,0.22175,0.6667391622614209,-0.8770272140103037,0.3872568736772723,-0.8479789630923458
