,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
18,0,1.2627118644067796,0,0.35,1.2,1,-0.9189861565231174,0.05,-0.9213271157729096,0.045,0.6523509532850563,-0.890021508900839,0.3608201247879524,-0.856143501568878
19,10,1.305084745762712,10,0.25,1.0,1,-0.9183122465346524,0.0575,-0.9200948773805996,0.054,0.6667391622614209,-0.8992460088015488,0.364216562008811,-0.8590478815689246
21,20,1.389830508474576,20,0.4,1.0,1,-0.922289448652834,0.0525,-0.9214139356062836,0.063,0.6805655524033362,-0.8770272140103037,0.4074470371374565,-0.8479789630923458
19,30,1.305084745762712,30,0.33,1.0,1,-0.922496381469592,0.0575,-0.9238935709643322,0.064,0.6280819423308299,-0.9180576338431778,0.3593259263376523,-0.8563818148566822
23,40,1.4745762711864407,40,0.4,1.0,1,-0.931264310381523,0.06,-0.9191727436326912,0.075,0.6652949948240707,-0.866083882893195,0.3872568736772723,-0.8459449300411975
18,50,1.2627118644067796,50,0.35,1.2,1,-0.9189861565231174,0.05,-0.9213271157729096,0.045,0.6523509532850563,-0.890021508900839,0.3608201247879524,-0.856143501568878
19,60,1.305084745762712,60,0.25,1.0,1,-0.9183122465346524,0.0575,-0.9200948773805996,0.054,0.6667391622614209,-0.8992460088015488,0.364216562008811,-0.8590478815689246
21,70,1.389830508474576,70,0.4,1.0,1,-0.922289448652834,0.0525,-0.9214139356062836,0.063,0.6805655524033362,-0.8770272140103037,0.4074470371374565,-0.8479789630923458
19,80,1.305084745762712,80,0.33,1.0,1,-0.922496381469592,0.0575,-0.9238935709643322,0.064,0.6280819423308299,-0.9180576338431778,0.3593259263376523,-0.8563818148566822
23,90,1.4745762711864407,90,0.4,1.0,1,-0.931264310381523,0.06,-0.9191727436326912,0.075,0.6652949948240707,-0.866083882893195,0.3872568736772723,-0.8459449300411975
