,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj
0,0.01,0.020200000000000003,-0.9177697761450505,-0.9204454657879172,-0.9161356660432592,0.025,-0.8217043418338109,-0.8292067174949888,-0.8176921570274439,0.0225,-0.8229242540418428,-0.8238073867862811,-0.8220411212974045
0,0.02,0.0334,-0.9186435919111565,-0.921031072284903,-0.9172901645472944,0.0338,-0.8256468041464446,-0.8316214452976955,-0.823365648281078,0.037,-0.8216106034556865,-0.8250440009814777,-0.8182672283727283
0,0.03,0.038400000000000004,-0.9207091667603375,-0.9211561843658262,-0.9200282211772872,0.045399999999999996,-0.832665078987452,-0.8343194205928472,-0.8297650311369908,0.040999999999999995,-0.8246380007044649,-0.8260805405087625,-0.8228424766256018
0,0.05,0.06019999999999999,-0.9211804486713632,-0.9214139356062836,-0.9200948773805996,0.06899999999999999,-0.8408998485797319,-0.8429266904916547,-0.839407800850953,0.06060000000000001,-0.8313055172281093,-0.8372266695994093,-0.8277570146307419
0,0.08,0.0858,-0.9244116307223592,-0.9241213478605512,-0.923357473393606,0.0948,-0.8474423529197026,-0.8499077557769943,-0.8450614584798378,0.08859999999999998,-0.8400838529107231,-0.8455939665573254,-0.8326629535592144
0,0.1,0.0998,-0.9238114863428486,-0.9242124992092764,-0.9216104183936308,0.1116,-0.8518254952480637,-0.853499967629766,-0.8493990393711479,0.1078,-0.8442592218070644,-0.8480387624641567,-0.8397045705415248
0,0.12,0.119,-0.9247441652409398,-0.9246373688263388,-0.9235087981571944,0.12819999999999998,-0.8553480114329691,-0.8575503989872808,-0.8534354197400833,0.1214,-0.8479179768510521,-0.8534775606074443,-0.8446611618457062
0,0.15,0.1414,-0.9249949008512784,-0.9249580942481316,-0.9240558698170952,0.1564,-0.861363857097793,-0.8644918534979235,-0.857284987941031,0.14999999999999997,-0.8525327125540414,-0.8579336833487078,-0.848608243650661
0,0.18,0.1742,-0.9245762041013375,-0.925663406704797,-0.922878425741131,0.18,-0.8677526597635936,-0.8720226231092594,-0.8626002272464578,0.176,-0.8566559723346096,-0.8603116806083877,-0.8529368438275949
0,0.2,0.1982,-0.9251063438390339,-0.925675913259032,-0.9240496877459572,0.2004,-0.873716083800168,-0.880710484953145,-0.8664654039310742,0.20260000000000003,-0.8610835824013163,-0.8660484869145223,-0.8578557088930051
