,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
42,0,1.6793103448275863,0,0.05,1.0,1.5,-0.7283759890125443,0.0575,-0.7119946097030156,0.062,0.003052254,0.0,0.0,-0.6914510714563107,-0.6935224372901372,-0.8454411388657231,-0.8366216488705837,-0.6813413954792428,-0.6663726622569168
46,10,2.010344827586207,10,0.05,1.0,1.5,-0.700142253638872,0.055,-0.720627594187581,0.042,0.003270668,0.0,0.0,-0.6757807162625243,-0.6746967335590374,-0.8237294489526528,-0.8335697568013022,-0.6588922934731434,-0.6744465486876725
48,20,2.1758620689655173,20,0.05,1.0,1.5,-0.7034856125458182,0.0475,-0.7131003015437749,0.031,0.003231161,0.0,0.0,-0.6606521198081071,-0.6612081639187106,-0.8269142968372448,-0.8338469168585156,-0.6597820445346552,-0.6669618119499325
42,30,1.6793103448275863,30,0.05,1.0,1.5,-0.7258932101730156,0.055,-0.7006494888169723,0.092,0.003563795,0.0,0.0,-0.7007933959161953,-0.7016771124053639,-0.8348251613160305,-0.8316256483125735,-0.6847389673603206,-0.6642762580489897
44,40,1.8448275862068968,40,0.05,1.0,1.5,-0.7186596758608312,0.0525,-0.7226440480069878,0.055,0.002966082,0.0,0.0,-0.6864626470884562,-0.6854963180476458,-0.8315768936366568,-0.8421635869904823,-0.6712032696287129,-0.6792482066919762
47,50,2.093103448275862,50,0.05,1.0,1.5,-0.7034887726352577,0.0475,-0.7083845002535807,0.037,0.003368395,0.0,0.0,-0.6663604706300233,-0.6626448771386838,-0.8301061805049953,-0.8310717591104807,-0.6614183001255842,-0.670306563347171
40,60,1.513793103448276,60,0.05,1.0,1.5,-0.7325942920351117,0.0525,-0.7334769851228908,0.068,0.003196198,0.0,0.0,-0.7169537763613077,-0.7152957437903533,-0.8423822221555056,-0.8528338514610798,-0.7018587125055681,-0.697041696385557
42,70,1.6793103448275863,70,0.05,1.0,1.5,-0.7253795070197886,0.0525,-0.7228996601604082,0.07,0.003632953,0.0,0.0,-0.7002876295905109,-0.6994750084164941,-0.8415717824998734,-0.8405391582125842,-0.6823985798345314,-0.6769393736477484
44,80,1.8448275862068968,80,0.05,1.0,1.5,-0.7241793150690451,0.0575,-0.7085453971174609,0.077,0.003687272,0.0,0.0,-0.6902585713846264,-0.6893529720479742,-0.8383197005795346,-0.8339657578476988,-0.6724180256761468,-0.6622235485356435
42,90,1.6793103448275863,90,0.05,1.0,1.5,-0.7179968313834351,0.0575,-0.7224910902161478,0.067,0.003177047,0.0,0.0,-0.6964941239627908,-0.6968475471106335,-0.8331245445596541,-0.833130076275884,-0.6765106426829163,-0.6817547376095441
