,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
37,0,1.2655172413793103,0,0.05,1.0,1.5,-0.7309200373272112,0.1075,-0.7175192870381232,0.12,0.003052254,0.0,0.0,-0.7353165256856847,-0.7370537474385042,-0.8582948638116331,-0.8486651608755137,-0.6824233759881362,-0.6649008084896156
41,10,1.5965517241379312,10,0.05,1.0,1.5,-0.7130010446746406,0.1025,-0.7245597104345144,0.084,0.003270668,0.0,0.0,-0.7128254500674757,-0.7118672884410284,-0.8330698346816852,-0.8440796720050916,-0.6629513854319163,-0.6767663197592791
41,20,1.5965517241379312,20,0.05,1.0,1.5,-0.708955436936456,0.1,-0.7182396788160658,0.097,0.003231161,0.0,0.0,-0.713362787073925,-0.7144814880422561,-0.8377982546243234,-0.8446108882241709,-0.663307592966924,-0.6651860136111308
39,30,1.4310344827586208,30,0.05,1.0,1.5,-0.7264334409165742,0.095,-0.7005712928279733,0.14,0.003563795,0.0,0.0,-0.7237536505823908,-0.7246560572134095,-0.8416740597730371,-0.8380902592401597,-0.6860415504199449,-0.6640085437961515
40,40,1.513793103448276,40,0.05,1.0,1.5,-0.7188516060300649,0.0975,-0.7237359613175696,0.093,0.002966082,0.0,0.0,-0.7182932980262267,-0.7173286225751503,-0.8379681035612906,-0.8493029500550366,-0.6707935746657548,-0.6794842347737047
42,50,1.6793103448275863,50,0.05,1.0,1.5,-0.7069760438904094,0.1025,-0.7116523802378077,0.078,0.003368395,0.0,0.0,-0.703494916936113,-0.7001310227493246,-0.8394906981690502,-0.8402547453807545,-0.6601830988394616,-0.669948045208679
38,60,1.3482758620689657,60,0.05,1.0,1.5,-0.7323296799628775,0.095,-0.7348844564122669,0.092,0.003196198,0.0,0.0,-0.7340700231295832,-0.7323444693332515,-0.8469190263441908,-0.858005055499267,-0.6997068710482929,-0.6975454346197739
38,70,1.3482758620689657,70,0.05,1.0,1.5,-0.7295189748452116,0.11,-0.7225947106733974,0.125,0.003632953,0.0,0.0,-0.7336206116583587,-0.7331109408106489,-0.8488507565581317,-0.847742304174313,-0.6838177572180005,-0.6742786137397101
39,80,1.4310344827586208,80,0.05,1.0,1.5,-0.7240306802478822,0.1,-0.7110998948606613,0.123,0.003687272,0.0,0.0,-0.7287519604257849,-0.7282546274649442,-0.8484013965903427,-0.8431243436086159,-0.6707055491863761,-0.6597639422846491
39,90,1.4310344827586208,90,0.05,1.0,1.5,-0.7240023813547343,0.1025,-0.7247894706245763,0.104,0.003177047,0.0,0.0,-0.7203687869819082,-0.7205082936593876,-0.8410868148277774,-0.8410254485603247,-0.676947860790271,-0.6807516641441413
