,Rho,Test_other_obj,Test_obj,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_obj,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.0001,-0.9240395170956819,-1.0588918826024636,0.59661916716202,0.59661916716202,0.59661916716202,[0.558],8.021991146914361,0.0,0.558,"(0,)",-1.0596953686369932,0.7258267873196423,[0.625],9.645389619550258,0.625
1,0.00021544346900318845,-0.9240395169763534,-1.0588079852973986,0.5966191657938651,0.5966191657938651,0.5966191657938651,[0.558],8.021061839142137,0.0,0.558,"(0,)",-1.0596105558089037,0.7258267861842602,[0.625],9.644333050054732,0.625
2,0.00046415888336127773,-0.924039516826032,-1.0586272343044016,0.5966191684498982,0.5966191684498982,0.5966191684498982,[0.557],8.019061591812125,0.0,0.557,"(0,)",-1.0594278325009092,0.7258267869354892,[0.625],9.642056753743567,0.625
3,0.001,-0.9240395169236016,-1.0582378180669165,0.5966191686288036,0.5966191686288036,0.5966191686288036,[0.557],8.014754268511485,0.0,0.557,"(0,)",-1.0590341671276604,0.7258267884019975,[0.625],9.637152621975007,0.625
4,0.002154434690031882,-0.9240395171388718,-1.0573988463709838,0.59661916947982,0.59661916947982,0.59661916947982,[0.557],8.005474427379221,0.0,0.557,"(0,)",-1.0581860409277692,0.7258267900187082,[0.625],9.626586990001524,0.625
5,0.004641588833612777,-0.9240395170944155,-1.055591336168186,0.5966191707079399,0.5966191707079399,0.5966191707079399,[0.556],7.9854871469924795,0.0,0.556,"(0,)",-1.0563588078169253,0.7258267905470632,[0.625],9.603824008661903,0.625
6,0.01,-0.9240395170965624,-1.0516971731999496,0.5966191704047471,0.5966191704047471,0.5966191704047471,[0.552],7.9425517793078715,0.0,0.552,"(0,)",-1.0524221532383569,0.7258267907578065,[0.625],9.554782646709526,0.625
7,0.021544346900318822,-0.9240395170062875,-1.04330745319609,0.5966191688945479,0.5966191688945479,0.5966191688945479,[0.549],7.850855457824306,0.0,0.549,"(0,)",-1.0439408877437726,0.7258267884871594,[0.625],9.44912621811604,0.625
8,0.046415888336127774,-0.9240745286064364,-1.025236033337406,0.5966191677513742,0.5966191677513742,0.5966191677513742,[0.537],7.6512544601053305,0.0,0.537,"(0,)",-1.0256715094395827,0.7258267878321988,[0.62],9.221857628597933,0.62
9,0.1,-0.9177528103464454,-0.9888694140613791,0.4536687931309347,0.4536687931309347,0.4536687931309347,[0.534],6.552224775808559,0.0,0.534,"(0,)",-0.9886863537909487,0.574742796601047,[0.6125],7.867449614961853,0.6125
10,0.11,-0.9151543115761843,-0.9826867617262883,0.4133157869161324,0.4133157869161324,0.4133157869161324,[0.532],6.314741048555752,0.0,0.532,"(0,)",-0.982448808595015,0.5093769715021973,[0.61],7.519690660380363,0.61
11,0.17357142857142857,-0.910222068034062,-0.9462445206580848,0.2912466666748713,0.2912466666748713,0.2912466666748713,[0.523],5.319450475763408,0.0,0.523,"(0,)",-0.9460229026714205,0.35098270568659473,[0.6025],6.323784987418417,0.6025
12,0.23714285714285716,-0.9038944108259204,-0.9139222539012799,0.12630583943495277,0.12630583943495277,0.12630583943495277,[0.504],4.401377212352861,0.0,0.504,"(0,)",-0.9140309648653533,0.19457688476362747,[0.575],5.207415921510571,0.575
13,0.3007142857142857,-0.895103924476219,-0.8854448713197469,0.025188936273395152,0.025188936273395152,0.025188936273395152,[0.483],3.7429560914501727,0.0,0.483,"(0,)",-0.8859672514377127,0.12646538940471921,[0.555],4.4819873184631245,0.555
14,0.36428571428571427,-0.8841652787140796,-0.8608127545117528,-0.11270953310314238,-0.11270953310314238,-0.11270953310314238,[0.472],3.0498093993504494,0.0,0.472,"(0,)",-0.8617090647439147,0.007010387343414702,[0.53],3.7274148354743284,0.53
15,0.4278571428571428,-0.876125402880989,-0.8398077012657298,-0.19938216734961098,-0.19938216734961098,-0.19938216734961098,[0.443],2.5241558179819377,0.0,0.443,"(0,)",-0.840787842094435,-0.06838118057705356,[0.51],3.1508020063619293,0.51
16,0.49142857142857144,-0.8708681147296728,-0.821064475497713,-0.25855120622300404,-0.25855120622300404,-0.25855120622300404,[0.422],2.1270007909504787,0.0,0.422,"(0,)",-0.8220157318882092,-0.14142307272058133,[0.4875],2.693897667873126,0.4875
17,0.555,-0.8683948610408019,-0.8044613861264922,-0.35074800821217417,-0.35074800821217417,-0.35074800821217417,[0.397],1.710075465692682,0.0,0.397,"(0,)",-0.8053869506582256,-0.2453984781843681,[0.4725],2.2203361379357727,0.4725
18,0.6185714285714285,-0.865694914155695,-0.789602703812232,-0.3963928321669991,-0.3963928321669991,-0.3963928321669991,[0.373],1.4258578383742362,0.0,0.373,"(0,)",-0.790466335102914,-0.29567592174788154,[0.445],1.9109491379137704,0.445
19,0.6821428571428572,-0.8627469848382489,-0.7758229580815273,-0.4200303648692379,-0.4200303648692379,-0.4200303648692379,[0.348],1.217276937779952,0.0,0.348,"(0,)",-0.7766509247134908,-0.32190758893008775,[0.42],1.6668439168759266,0.42
20,0.7457142857142857,-0.8592879971621751,-0.7627967987451372,-0.4394352458355623,-0.4394352458355623,-0.4394352458355623,[0.322],1.052732702800993,0.0,0.322,"(0,)",-0.7635968121698867,-0.3481183274222587,[0.3875],1.4590472899462865,0.3875
21,0.8092857142857143,-0.8537248174683536,-0.7505431383556251,-0.46270436928964837,-0.46270436928964837,-0.46270436928964837,[0.297],0.8995993849956871,0.0,0.297,"(0,)",-0.7513576613599856,-0.38646378303571455,[0.37],1.2356906917261534,0.37
22,0.8728571428571429,-0.8494692108248797,-0.7389409798197434,-0.4790408962185057,-0.4790408962185057,-0.4790408962185057,[0.273],0.7808026836870954,0.0,0.273,"(0,)",-0.7398015058776231,-0.41477564324168015,[0.3375],1.0566132388253202,0.3375
23,0.9364285714285714,-0.8456976048138461,-0.7278951461838518,-0.49193833823502375,-0.49193833823502375,-0.49193833823502375,[0.253],0.682836666515536,0.0,0.253,"(0,)",-0.7287936556849013,-0.4390015595377982,[0.315],0.9115389361951003,0.315
24,1.0,-0.8423109571201883,-0.7173125991116036,-0.5033828652627335,-0.5033828652627335,-0.5033828652627335,[0.239],0.5977923111031446,0.0,0.239,"(0,)",-0.7182355796820193,-0.45967789675664744,[0.2825],0.7905333168646044,0.2825
25,1.1,-0.837839745249722,-0.7014270916388168,-0.516453433535864,-0.516453433535864,-0.516453433535864,[0.214],0.4880245780775528,0.0,0.214,"(0,)",-0.7023861358216047,-0.4834437788481081,[0.2625],0.6348564247285671,0.2625
26,1.2000000000000002,-0.8342771490734984,-0.6862463662771632,-0.5261790683854454,-0.5261790683854454,-0.5261790683854454,[0.191],0.40103136259548416,0.001,0.191,"(0,)",-0.6872489503413732,-0.5004905319756285,[0.2275],0.513938671566031,0.2275
