,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
33,0,0.9629166666666668,0,0.1,1.5,1,-0.9384022732211724,0.0975,-0.9384719319697864,0.081,0.003807023,0.0,0.0
34,10,1.0,10,0.15,1.2,1,-0.939778011903226,0.0975,-0.9390409810044996,0.11,0.002497642,0.0,0.0
35,20,1.1,20,0.15,0.75,1,-0.971139104870176,0.11,-0.9540832378791978,0.107,0.002891163,0.0,0.0
36,30,1.1487179487179489,30,0.15,1.2,1,-0.9437394615745638,0.1075,-0.8861211336673643,0.15,0.003003763,0.0,0.0
30,40,0.8516666666666667,40,0.05,0.5,1,-0.9344245467038133,0.1,-0.91905389753037,0.097,0.003162243,0.0,0.0
38,50,1.2461538461538462,50,0.25,1.2,1,-0.9236631899506048,0.11,-0.9011928686001128,0.098,0.0022718,0.0,0.0
33,60,0.9629166666666668,60,0.25,1.5,1,-0.9431663302328326,0.095,-0.8763080414773521,0.094,0.00264214,0.0,0.0
32,70,0.9258333333333334,70,0.23,1.2,1,-0.9616337709246568,0.11,-0.8882184204496363,0.131,0.002098031,0.0,0.0
36,80,1.1487179487179489,80,0.25,0.5,1,-0.942300578130514,0.0975,-0.8247681654426212,0.09,0.002369511,0.0,0.0
33,90,0.9629166666666668,90,0.1,0.5,1,-0.9168697946839228,0.0925,-0.8714030069451459,0.141,0.002504792,0.0,0.0
