,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
35,0,1.1,0,0.33,0.5,1,-0.9150932057214962,0.145,-0.938702853710949,0.12,0.002632483,0.0,0.0
32,10,0.9258333333333334,10,0.15,1.2,1,-0.9402091018478962,0.1575,-0.9392820091909432,0.2,0.002410171,0.0,0.0
34,20,1.0,20,0.3,1.5,1,-0.9512284265557532,0.145,-0.9331277059822244,0.151,0.002844524,0.0,0.0
35,30,1.1,30,0.15,1.2,1,-0.9439849382950944,0.1425,-0.8861542191287651,0.2,0.002849291,0.0,0.0
28,40,0.7775000000000001,40,0.05,0.5,1,-0.9356521440785418,0.145,-0.9199931762266164,0.135,0.002865053,0.0,0.0
33,50,0.9629166666666668,50,0.1,1.0,1,-0.936449127368312,0.155,-0.9126410833940702,0.184,0.003092863,0.0,0.0
31,60,0.88875,60,0.25,1.5,1,-0.943525603441464,0.1475,-0.8763468602960527,0.138,0.002677794,0.0,0.0
29,70,0.8145833333333333,70,0.23,1.2,1,-0.9621586738148368,0.1575,-0.88784167691172,0.178,0.002131102,0.0,0.0
33,80,0.9629166666666668,80,0.35,0.5,1,-0.95283489721506,0.1425,-0.8753692463967663,0.15,0.003308114,0.0,0.0
31,90,0.88875,90,0.1,0.5,1,-0.9168601202282268,0.15,-0.8713505700919244,0.192,0.002224202,0.0,0.0
