,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
38,0,1.553846153846154,0,0.23,0.5,1,-0.9180864346925844,0.0425,-0.9050294087476104,0.03
32,10,0.9258333333333334,10,0.05,1.2,1,-0.9300083802091148,0.045,-0.9043912208877988,0.05
35,20,1.1,20,0.1,1.0,1,-0.938600105444874,0.0525,-0.932538031485953,0.06
37,30,1.402564102564103,30,0.2,1.5,1,-0.9430719685988268,0.0475,-0.879837841072095,0.055
34,40,1.0,40,0.05,1.0,1,-0.9086870933247186,0.0425,-0.9261020566165086,0.057
37,50,1.402564102564103,50,0.2,0.5,1,-0.921932749569244,0.055,-0.9014416410951268,0.057
37,60,1.402564102564103,60,0.23,1.0,1,-0.9384691112494734,0.06,-0.8961001404487973,0.072
35,70,1.1,70,0.23,1.2,1,-0.9454074568595994,0.05,-0.8799885909583768,0.065
37,80,1.402564102564103,80,0.23,0.75,1,-0.9491344936304524,0.0575,-0.8731492623718836,0.036
35,90,1.1,90,0.15,0.5,1,-0.9416191569381304,0.0525,-0.9319867830751528,0.03
