,step,Validate_val,Lower_validate,Upper_validate,Probability_violations_validate,Violations_validate,Coverage_validate,Avg_prob_validate,Rho
0,"(0,)",-4.087259259739893,-6.639829766380425,0.0,[0.05],5.334138795060908,0.755,0.05,1.0
1,"(100,)",-3.788651394919813,-6.211654790064921,0.0,[0.035],3.743350325188622,0.755,0.035,1.0
2,"(200,)",-3.76008049733094,-6.172424811181305,0.0,[0.035],3.67233493613425,0.76,0.035,1.0
3,"(300,)",-3.754051276217778,-6.166853726389242,0.0,[0.035],3.664723826352387,0.76,0.035,1.0
4,"(400,)",-3.7517277737974313,-6.163753247303374,0.0,[0.035],3.6536603275393214,0.76,0.035,1.0
5,"(500,)",-3.752417214283134,-6.164972769727231,0.0,[0.035],3.65647290918801,0.76,0.035,1.0
