,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
39,0,1.4310344827586208,0,0.12,8.0,1.5,-0.8141348935166486,0.0,-0.808572732325577,0.014,0.000370232,0.035,0.028,-0.6810606407903973,-0.6790021783566392,-0.85117606192227,-0.8448623498719745,-0.7951636936903629,-0.7714873560603414
45,10,1.9275862068965517,10,0.15,8.0,1.5,-0.7995590193516126,0.015,-0.7954936523737459,0.014,0.000359443,0.01,0.008,-0.5644559793966644,-0.5667974179125865,-0.845316773547702,-0.8552073169664027,-0.6704912542877409,-0.7074900880612403
43,20,1.7620689655172417,20,0.15,2.5,1.5,-0.8130283060164487,0.0,-0.8015274089807807,0.0,0.000394522,0.0,0.0,-0.4423342621633055,-0.4425602138971551,-0.8682105812524585,-0.8650267724095075,-0.7811752175418254,-0.7648750802426727
37,30,1.2655172413793103,30,0.08,5.0,1.5,-0.8044993572460484,0.01,-0.7971567511423236,0.016,0.000341372,0.0,0.0,-0.6391615138908064,-0.6408479156148184,-0.8639620781223288,-0.8631012402178072,-0.7377552645455404,-0.7166714681963712
37,40,1.2655172413793103,40,0.05,5.0,1.5,-0.8037791987001521,0.01,-0.8032355128342985,0.012,0.000445211,0.005,0.002,-0.6902442461641249,-0.692467688416629,-0.8458267806761671,-0.8438176307324955,-0.7660425464029793,-0.7590318940773015
38,50,1.3482758620689657,50,0.15,8.0,1.5,-0.807403735326375,0.0,-0.8045706461449238,0.0,0.000382223,0.005,0.01,-0.6457287447521515,-0.644641296091281,-0.8567429807427237,-0.8564643822444179,-0.777075429222253,-0.7762160485357152
41,60,1.5965517241379312,60,0.15,5.0,1.5,-0.811831441172132,0.02,-0.802985240046098,0.006,0.000415053,0.025,0.008,-0.616863363554282,-0.621562311026131,-0.8629214568667252,-0.8579581659060393,-0.7314143414505093,-0.7270969679594514
39,70,1.4310344827586208,70,0.1,8.0,1.5,-0.7817151298056502,0.03,-0.7816574796898685,0.022,0.000458903,0.01,0.012,-0.6258839521437953,-0.6300590578161236,-0.8421481159888774,-0.8502614105424764,-0.6222903806259522,-0.6720328313279462
39,80,1.4310344827586208,80,0.2,5.0,1.5,-0.811252190928043,0.005,-0.8143684043865805,0.008,0.000421302,0.0,0.002,-0.5936610351124975,-0.5963511234841594,-0.8540656974533749,-0.862398160950245,-0.6947550923616191,-0.7419333643760353
39,90,1.4310344827586208,90,0.05,8.0,1.5,-0.8040887224605837,0.015,-0.7934757898304294,0.002,0.000465212,0.01,0.002,-0.6369149200177081,-0.632923508886024,-0.8475778806583268,-0.8521292165425461,-0.7369649687573855,-0.7523752332712426
