seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val
0,0.0001,0,0.05,10,1,0.11411438060324276,0.9875,0.2571194520314107,0.989,0.00037349,0.0,0.0,-2.3388013526963363,-2.300061851544774,-0.8044443002040886
0,0.00021544346900318845,0,0.05,10,1,0.11411437983423944,0.9875,0.25711945100745415,0.989,0.00037349,0.0,0.0,-2.3385780738272395,-2.299842089856638,-0.804444300339602
0,0.00046415888336127773,0,0.05,10,1,0.11411437807642116,0.9875,0.2571194482499831,0.989,0.00037349,0.0,0.0,-2.3380970343606577,-2.2993686277552445,-0.8044443004049017
0,0.001,0,0.05,10,1,0.11411437876402254,0.9875,0.2571194502760659,0.989,0.00037349,0.0,0.0,-2.337060667410978,-2.2983485860932444,-0.8044443003880098
0,0.002154434690031882,0,0.05,10,1,0.11411437896826084,0.9875,0.25711944901988837,0.989,0.00037349,0.0,0.0,-2.334827881215595,-2.2961509715135358,-0.80444430039283
0,0.004641588833612777,0,0.05,10,1,0.11411437955962962,0.9875,0.25711945094010974,0.989,0.00037349,0.0,0.0,-2.330017490380809,-2.2914163554787548,-0.8044443002856666
0,0.01,0,0.05,10,1,0.11024419732096537,0.9875,0.25481616231516774,0.989,0.00037349,0.0,0.0,-2.319670698995054,-2.2812369874408858,-0.8048156951196865
0,0.021544346900318822,0,0.05,10,1,0.08377229451361384,0.99,0.1993536159720872,0.991,0.00037349,0.0,0.0,-2.2979525053338192,-2.2598696622146397,-0.8084826582278919
0,0.046415888336127774,0,0.05,10,1,0.03958559939712998,0.995,0.13093421991121854,0.994,0.00037349,0.0,0.0,-2.253746559876242,-2.2164901588821837,-0.8146557216462861
0,0.1,0,0.05,10,1,-0.040234127331278784,0.9975,-0.0004514755308228411,0.999,0.00037349,0.0,0.0,-2.168548774121443,-2.135953247182805,-0.8123937523800414
0,0.11,0,0.05,10,1,-0.06369638225735383,0.9975,-0.026125209553690354,0.999,0.00037349,0.0,0.0,-2.154085568474061,-2.1223693943914177,-0.8126797250717355
0,0.17357142857142857,0,0.05,10,1,-0.16345693942712067,1.0,-0.1692384064721106,1.0,0.00037349,0.0,0.0,-2.073945741340023,-2.0477900741647526,-0.8168423567472539
0,0.23714285714285716,0,0.05,10,1,-0.2159058260121928,1.0,-0.22127242339581904,1.0,0.00037349,0.0,0.0,-2.0108826750269357,-1.9898554341669654,-0.8120234990841595
0,0.3007142857142857,0,0.05,10,1,-0.2910388656357728,1.0,-0.3026794930568511,1.0,0.00037349,0.0,0.0,-1.962636156072716,-1.946302195674559,-0.8153941460903545
0,0.36428571428571427,0,0.05,10,1,-0.34804525121138624,1.0,-0.3697194171457834,1.0,0.00037349,0.0,0.0,-1.9266472447797007,-1.9141051860470335,-0.8241837395020559
0,0.4278571428571428,0,0.05,10,1,-0.41857268422043165,1.0,-0.41382202561048415,1.0,0.00037349,0.0,0.0,-1.8987860413785191,-1.888741558643742,-0.8289738984841238
0,0.49142857142857144,0,0.05,10,1,-0.44107566228298783,1.0,-0.4378221383439302,1.0,0.00037349,0.0,0.0,-1.8758557759940806,-1.8673472794620074,-0.8305114165538594
0,0.555,0,0.05,10,1,-0.46069901504211613,1.0,-0.45782007672471087,1.0,0.00037349,0.0,0.0,-1.856460506240603,-1.848750433391934,-0.8312129383973152
0,0.6185714285714285,0,0.05,10,1,-0.47041477061446585,1.0,-0.4652291685334057,1.0,0.00037349,0.0,0.0,-1.839249733342492,-1.8319424078820155,-0.8315977373884704
0,0.6821428571428572,0,0.05,10,1,-0.47786264391171857,1.0,-0.46899062054954754,1.0,0.00037349,0.0,0.0,-1.823072689299434,-1.8160371327365528,-0.8318500732231521
0,0.7457142857142857,0,0.05,10,1,-0.48303359057655226,1.0,-0.47152832455219296,1.0,0.00037349,0.0,0.0,-1.8076220585265799,-1.800786466239499,-0.8319575054738894
0,0.8092857142857143,0,0.05,10,1,-0.4864857527469019,1.0,-0.473217474120768,1.0,0.00037349,0.0,0.0,-1.79272768410284,-1.7860558252813745,-0.8320358407281572
0,0.8728571428571429,0,0.05,10,1,-0.49051003411784566,1.0,-0.4740756856407048,1.0,0.00037349,0.0,0.0,-1.77827286155078,-1.7717383116158767,-0.8319932262900108
0,0.9364285714285714,0,0.05,10,1,-0.4932802604945486,1.0,-0.47479494362466207,1.0,0.00037349,0.0,0.0,-1.764174919092887,-1.7577588115252756,-0.8319921867382514
0,1.0,0,0.05,10,1,-0.4953865163715923,1.0,-0.475637484342527,1.0,0.00037349,0.0,0.0,-1.7503863473012538,-1.744067221353505,-0.8320579324749208
0,1.1,0,0.05,10,1,-0.498220185297548,1.0,-0.4760105821598096,1.0,0.00037349,0.0,0.0,-1.729342423532461,-1.7231005928480418,-0.8321232617077935
0,1.2000000000000002,0,0.05,10,1,-0.5023948343596081,1.0,-0.4753052130320138,1.0,0.00037349,0.0,0.0,-1.7090111357605153,-1.7027294509465345,-0.8323435165652098
0,1.3,0,0.05,10,1,-0.5042677519692641,1.0,-0.47433605516679117,1.0,0.00037349,0.0,0.0,-1.6894626556644774,-1.6829874730518033,-0.8323157993664605
0,1.4000000000000001,0,0.05,10,1,-0.5055282290715561,1.0,-0.47374450076853974,1.0,0.00037349,0.0,0.0,-1.670477211671137,-1.6637404524721089,-0.8323124802820128
0,1.5,0,0.05,10,1,-0.5062329594464728,1.0,-0.47331596288034183,0.999,0.00037349,0.0,0.0,-1.6518685134796172,-1.6448292043601485,-0.832287080250049
0,1.6,0,0.05,10,1,-0.5065581378622718,1.0,-0.4729618705714252,0.999,0.00037349,0.0,0.0,-1.633550945717261,-1.6261844134857415,-0.8321719641768396
0,1.7000000000000002,0,0.05,10,1,-0.5068689885032912,1.0,-0.4726139717985851,0.998,0.00037349,0.0,0.0,-1.6154614773639149,-1.6077514088237304,-0.8320791348866275
0,1.8000000000000003,0,0.05,10,1,-0.507156799778946,0.9975,-0.47223248280913604,0.998,0.00037349,0.0,0.0,-1.5975478440635076,-1.5894821755252782,-0.8320021609463052
0,1.9000000000000001,0,0.05,10,1,-0.5072077289890748,0.9975,-0.4718321797693451,0.998,0.00037349,0.0,0.0,-1.5797740458702978,-1.5713436405779535,-0.8319383680903096
0,2.0,0,0.05,10,1,-0.5061494373983407,0.9975,-0.4711104429412213,0.995,0.00037349,0.0,0.0,-1.5621355722601549,-1.5533384465313351,-0.8318957485121082
0,2.1,0,0.05,10,1,-0.5055832858998597,0.9975,-0.47057901385761347,0.994,0.00037349,0.0,0.0,-1.5446222303833803,-1.5354596900839346,-0.8318386638463433
0,2.2,0,0.05,10,1,-0.5052312779364344,0.9975,-0.4701097182611987,0.993,0.00037349,0.0,0.0,-1.5272166100111886,-1.5176905656788715,-0.8317823056106461
0,2.3000000000000003,0,0.05,10,1,-0.5049336584844045,0.9925,-0.46970108913595066,0.991,0.00037349,0.0,0.0,-1.5099010680601292,-1.5000129230549268,-0.8317344344725304
0,2.4000000000000004,0,0.05,10,1,-0.504678224691488,0.99,-0.4693451428785169,0.985,0.00037349,0.0,0.0,-1.4926616270609612,-1.4824123926769075,-0.8316930681806336
0,2.5,0,0.05,10,1,-0.5044897015354207,0.9775,-0.46909526234492777,0.98,0.00037349,0.0,0.0,-1.4754858120384622,-1.4648767371608262,-0.8316495635421736
0,2.6,0,0.05,10,1,-0.5043810641742767,0.9775,-0.4688899181121573,0.978,0.00037349,0.0,0.0,-1.4583622454580059,-1.4473960704622144,-0.8316067884169427
0,2.7,0,0.05,10,1,-0.5042996761097793,0.975,-0.4687026643205419,0.97,0.00037349,0.0,0.0,-1.4412863020121023,-1.4299668275143496,-0.8315624063258327
0,2.8000000000000003,0,0.05,10,1,-0.5042245056106188,0.9575,-0.4690625387781723,0.966,0.00037349,0.0,0.0,-1.4242890885686887,-1.4126229339377918,-0.8316177643104101
0,2.9000000000000004,0,0.05,10,1,-0.5041627882220392,0.9475,-0.4693190246847914,0.954,0.00037349,0.0,0.0,-1.4074174652249778,-1.3954161531429798,-0.8316705473426144
0,3.0,0,0.05,10,1,-0.5041113191776038,0.945,-0.4691247138632623,0.947,0.00037349,0.0,0.0,-1.3906446140218356,-1.3783169388696506,-0.8317047351927204
0,3.1,0,0.05,10,1,-0.5040569259498793,0.9275,-0.4689179442986425,0.931,0.00037349,0.0,0.0,-1.3739514485691464,-1.3613042805152977,-0.8317277042676875
0,3.2,0,0.05,10,1,-0.5039899340213903,0.92,-0.4687274002223754,0.918,0.00037349,0.0,0.001,-1.3573244028262945,-1.344363292545341,-0.8317431423240084
0,3.3000000000000003,0,0.05,10,1,-0.5039281743657216,0.91,-0.468488820750777,0.907,0.00037349,0.0,0.001,-1.340753354412461,-1.3274828979894218,-0.8317534094121786
