,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
17,0,1.857142857142857,0,0.33,1.2,1,-0.8710183359105221,0.105,-0.8693803751713635,0.108
19,10,2.0168067226890756,10,0.3,1.0,1,-0.896559302380753,0.105,-0.8642944675282734,0.166
24,20,2.4159663865546217,20,0.05,0.75,1,-0.8620564402554984,0.095,-0.844351746349814,0.094
25,30,2.495798319327731,30,0.33,1.2,1,-0.8946928170124218,0.11,-0.895776423395637,0.114
35,40,3.2941176470588234,40,0.35,0.75,1,-0.8536061637752664,0.105,-0.8603125975641452,0.16
18,50,1.9369747899159664,50,0.1,1.2,1,-0.8895141571575615,0.11,-0.8497281146697189,0.154
22,60,2.2563025210084033,60,0.3,1.2,1,-0.8853729816327519,0.11,-0.8802191953933742,0.12
27,70,2.6554621848739495,70,0.33,1.0,1,-0.8798806674640383,0.105,-0.8716657706474445,0.134
21,80,2.176470588235294,80,0.3,1.5,1,-0.8955534270040126,0.105,-0.8702131382449614,0.138
26,90,2.57563025210084,90,0.3,1.0,1,-0.8725882334018535,0.11,-0.8607712154863069,0.144
