,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
14,0,1.6176470588235294,0,0.25,1.2,1,-0.8670934995937886,0.155,-0.8461372762069659,0.238
15,10,1.6974789915966386,10,0.23,1.5,1,-0.8841731099893733,0.15,-0.8589532577400207,0.192
22,20,2.2563025210084033,20,0.3,1.5,1,-0.8488398663573433,0.14,-0.8491242988194202,0.126
22,30,2.2563025210084033,30,0.2,0.75,1,-0.8791529468968929,0.155,-0.8559504941676774,0.194
20,40,2.0966386554621845,40,0.15,1.0,1,-0.854417595301351,0.145,-0.8536567991387999,0.154
12,50,1.4579831932773109,50,0.15,1.2,1,-0.8775960114489152,0.15,-0.8310158470456329,0.228
9,60,1.218487394957983,60,0.1,1.0,1,-0.8870577244486612,0.15,-0.8721442380545948,0.2
17,70,1.857142857142857,70,0.35,1.0,1,-0.8904122562069661,0.15,-0.8746402972425628,0.182
15,80,1.6974789915966386,80,0.35,1.5,1,-0.8918441715683252,0.155,-0.8507083180611603,0.228
13,90,1.53781512605042,90,0.23,1.2,1,-0.8885855011243811,0.15,-0.8572254977749711,0.22
