,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
24,0,2.4159663865546217,0,0.33,1.2,1,-0.8666869449318456,0.055,-0.8652776382495599,0.052
24,10,2.4159663865546217,10,0.3,1.0,1,-0.8924688740110607,0.06,-0.8620939134265775,0.13
41,20,3.773109243697479,20,0.05,0.75,1,-0.8636948734288967,0.055,-0.8454209448032343,0.038
40,30,3.6932773109243695,30,0.35,0.75,1,-0.8884924764780959,0.06,-0.8825913259722212,0.066
55,40,4.890756302521008,40,0.35,0.75,1,-0.8521590057961086,0.06,-0.8571128649215571,0.072
31,50,2.974789915966386,50,0.1,1.2,1,-0.8832457756365166,0.06,-0.8464064992381375,0.076
30,60,2.8949579831932772,60,0.3,1.2,1,-0.8845750881397757,0.06,-0.8766464634929843,0.058
27,70,2.6554621848739495,70,0.35,1.5,1,-0.8754996847593104,0.06,-0.8714520800502676,0.098
30,80,2.8949579831932772,80,0.3,1.5,1,-0.8852459986374285,0.06,-0.8653609128461103,0.082
38,90,3.533613445378151,90,0.3,1.0,1,-0.8633431027126552,0.06,-0.8564582934002724,0.064
