,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.8810178192967,-0.9133055578130042,-0.8388327213452311,[0.642],0.9838993784511793,0.0,0.642,"(0,)",-0.8837329346141086,[0.65],1.004773684862214,0.65
1,1.0,-0.8643652944852097,-0.888707066295552,-0.8418174633975274,[0.211],0.22148331709453162,0.025,0.211,"(0,)",-0.8619830543708851,[0.205],0.24154482669724575,0.205
2,2.0,-0.8549423801311722,-0.8799686306871569,-0.833234401144485,[0.048],0.06981379936489748,0.212,0.048,"(0,)",-0.8519898156821282,[0.0475],0.08337347879982014,0.0475
