seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time
50,0.0001,50,0.25,2,1,-426.15192866040866,1.0,-425.9283547528004,1.0,0.009101354
50,0.00021544346900318845,50,0.25,2,1,-426.1503394624121,1.0,-425.9267680811918,1.0,0.009101354
50,0.00046415888336127773,50,0.25,2,1,-426.1472467201749,1.0,-425.9236913728537,1.0,0.009101354
50,0.001,50,0.25,2,1,-426.14069535557593,1.0,-425.9172104304158,1.0,0.009101354
50,0.002154434690031882,50,0.25,2,1,-426.1266505207735,1.0,-425.9033420895784,1.0,0.009101354
50,0.004641588833612777,50,0.25,2,1,-426.09637417100726,1.0,-425.87351483453693,1.0,0.009101354
50,0.01,50,0.25,2,1,-426.03115897547207,1.0,-425.8092608157627,1.0,0.009101354
50,0.021544346900318822,50,0.25,2,1,-425.8906598243259,1.0,-425.6708261070771,1.0,0.009101354
50,0.046415888336127774,50,0.25,2,1,-425.58797307615254,1.0,-425.3725855052893,1.0,0.009101354
50,0.1,50,0.25,2,1,-424.93585210613224,1.0,-424.7300436822887,1.0,0.009101354
50,0.11,50,0.25,2,1,-424.8141520652459,1.0,-424.61013136392364,1.0,0.009101354
50,0.17357142857142857,50,0.25,2,1,-424.04048558840776,0.98,-423.8478294488471,0.984,0.009101354
50,0.23714285714285716,50,0.25,2,1,-423.26681919955473,0.955,-423.08552773092345,0.964,0.009101354
50,0.3007142857142857,50,0.25,2,1,-422.4931526653319,0.92,-422.3232258187714,0.928,0.009101354
50,0.36428571428571427,50,0.25,2,1,-421.7194862266422,0.885,-421.56092398957065,0.898,0.009101354
50,0.4278571428571428,50,0.25,2,1,-420.94582000931376,0.845,-420.79862240962854,0.852,0.009101354
50,0.49142857142857144,50,0.25,2,1,-420.1721537042029,0.79,-420.03632073054507,0.82,0.009101354
50,0.555,50,0.25,2,1,-419.39848733989345,0.765,-419.2740189816468,0.76,0.009101354
50,0.6185714285714285,50,0.25,2,1,-418.6248209639914,0.7,-418.51171722048593,0.692,0.009101354
50,0.6821428571428572,50,0.25,2,1,-417.85115457202227,0.67,-417.74941546343456,0.626,0.009101354
50,0.7457142857142857,50,0.25,2,1,-417.077488125238,0.595,-416.9871136222838,0.566,0.009101354
50,0.8092857142857143,50,0.25,2,1,-416.3038218851072,0.535,-416.2248119906848,0.502,0.009101354
50,0.8728571428571429,50,0.25,2,1,-415.53015560757837,0.465,-415.4625103473761,0.446,0.009101354
50,0.9364285714285714,50,0.25,2,1,-414.7564892035285,0.385,-414.70020855329983,0.386,0.009101354
50,1.0,50,0.25,2,1,-413.9828228271012,0.345,-413.9379067943413,0.352,0.009101354
50,1.1,50,0.25,2,1,-412.765819501104,0.285,-412.73878038627635,0.292,0.009101354
50,1.2625000000000002,50,0.25,2,1,-410.7881892379257,0.23,-410.7902001679385,0.224,0.009101354
50,1.425,50,0.25,2,1,-408.8105588733417,0.17,-408.8416198205716,0.16,0.009101354
50,1.5875000000000001,50,0.25,2,1,-406.8329287306207,0.135,-406.8930396933514,0.11,0.009101354
50,1.75,50,0.25,2,1,-404.8552984228291,0.095,-404.94445939684755,0.086,0.009101354
50,1.9125,50,0.25,2,1,-402.8776681944127,0.065,-402.99587919592983,0.062,0.009101354
50,2.075,50,0.25,2,1,-400.9000378422323,0.06,-401.04729884836314,0.04,0.009101354
50,2.2375,50,0.25,2,1,-398.9184500848512,0.04,-399.094302872788,0.028,0.009101354
50,2.4000000000000004,50,0.25,2,1,-396.9278908540988,0.04,-397.1313866518004,0.028,0.009101354
50,2.5625,50,0.25,2,1,-394.9177683273948,0.035,-395.1481389529746,0.018,0.009101354
50,2.725,50,0.25,2,1,-392.8918102051698,0.02,-393.1503641880274,0.012,0.009101354
50,2.8875,50,0.25,2,1,-390.8575619236399,0.02,-391.1448885020412,0.006,0.009101354
50,3.0500000000000003,50,0.25,2,1,-388.81553147815083,0.015,-389.13057288517854,0.006,0.009101354
50,3.2125000000000004,50,0.25,2,1,-386.7672766573388,0.015,-387.1106938686016,0.004,0.009101354
50,3.375,50,0.25,2,1,-384.7131055891545,0.01,-385.08487556689863,0.004,0.009101354
50,3.5375,50,0.25,2,1,-382.5840032923164,0.01,-382.9754281813331,0.004,0.009101354
50,3.7,50,0.25,2,1,-380.29021719782446,0.01,-380.68380100997433,0.002,0.009101354
50,3.8625000000000003,50,0.25,2,1,-377.67524908518243,0.01,-378.07108095172504,0.004,0.009101354
50,4.025,50,0.25,2,1,-374.7814359646942,0.01,-375.1807429549332,0.004,0.009101354
50,4.1875,50,0.25,2,1,-371.71108193439926,0.01,-372.10823437086333,0.002,0.009101354
50,4.35,50,0.25,2,1,-368.4703780785552,0.01,-368.8639504628966,0.002,0.009101354
50,4.5125,50,0.25,2,1,-365.07742620471026,0.01,-365.47530087190273,0.0,0.009101354
50,4.675000000000001,50,0.25,2,1,-361.5675037684951,0.005,-361.9777921223936,0.0,0.009101354
50,4.8375,50,0.25,2,1,-357.96536823680975,0.01,-358.3919097274879,0.004,0.009101354
50,5.0,50,0.25,2,1,-354.27778065485404,0.01,-354.7213913376613,0.004,0.009101354
