seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
30,1.4897435897435898,30,0.4,1.5,1,-0.827237439085904,0.01,-0.7027119421234839,0.016,0.00050413,0.0,0.0
30,1.5384615384615385,30,0.4,1.5,1,-0.8216021874546083,0.0,-0.7031923537616485,0.012,0.00050413,0.0,0.0
30,1.5871794871794873,30,0.4,1.5,1,-0.8221946427641913,0.0,-0.6995236935425062,0.012,0.00050413,0.0,0.0
30,1.6358974358974359,30,0.4,1.5,1,-0.8187828252223386,0.0,-0.696218795407121,0.008,0.00050413,0.0,0.0
30,1.6846153846153848,30,0.4,1.5,1,-0.813054964456099,0.0,-0.6935152664322642,0.0,0.00050413,0.0,0.0
30,1.7333333333333334,30,0.4,1.5,1,-0.8080675035340255,0.0,-0.6885111687525366,0.0,0.00050413,0.0,0.0
30,1.7820512820512822,30,0.4,1.5,1,-0.8045593372794664,0.0,-0.6835320266742142,0.0,0.00050413,0.0,0.0
30,1.830769230769231,30,0.4,1.5,1,-0.802084272884008,0.0,-0.679812629219108,0.0,0.00050413,0.0,0.0
30,1.8794871794871795,30,0.4,1.5,1,-0.7996091083320149,0.0,-0.6780622490921642,0.0,0.00050413,0.0,0.0
30,1.9282051282051285,30,0.4,1.5,1,-0.7983647689573875,0.0,-0.6765041982348794,0.0,0.00050413,0.0,0.0
30,1.976923076923077,30,0.4,1.5,1,-0.7977930322684692,0.0,-0.6750699117438076,0.0,0.00050413,0.0,0.0
30,2.0256410256410255,30,0.4,1.5,1,-0.7973830953823421,0.0,-0.6737436648200296,0.0,0.00050413,0.0,0.0
30,2.0743589743589745,30,0.4,1.5,1,-0.7951964040213647,0.0,-0.6758671109581604,0.0,0.00050413,0.0,0.0
30,2.123076923076923,30,0.4,1.5,1,-0.7890278034134434,0.0,-0.6767730265071935,0.0,0.00050413,0.0,0.0
30,2.171794871794872,30,0.4,1.5,1,-0.7781733929766363,0.0,-0.6770785978794499,0.0,0.00050413,0.0,0.0
30,2.2205128205128206,30,0.4,1.5,1,-0.7712496998389758,0.0,-0.6770813388770339,0.0,0.00050413,0.0,0.0
30,2.269230769230769,30,0.4,1.5,1,-0.7665762485748389,0.0,-0.6790962918288601,0.0,0.00050413,0.0,0.0
30,2.317948717948718,30,0.4,1.5,1,-0.760253953743906,0.0,-0.680572269080489,0.0,0.00050413,0.0,0.0
30,2.3666666666666667,30,0.4,1.5,1,-0.7567080729224216,0.0,-0.6817463044731638,0.0,0.00050413,0.0,0.0
30,2.4153846153846157,30,0.4,1.5,1,-0.7539188416251816,0.0,-0.6831276207464542,0.0,0.00050413,0.0,0.0
30,2.4641025641025642,30,0.4,1.5,1,-0.7516968282476202,0.0,-0.6842057735697299,0.0,0.00050413,0.0,0.0
30,2.5128205128205128,30,0.4,1.5,1,-0.7498770471589495,0.0,-0.685061138847281,0.0,0.00050413,0.0,0.0
30,2.5615384615384613,30,0.4,1.5,1,-0.7485718576434534,0.0,-0.6856950108427181,0.0,0.00050413,0.0,0.0
30,2.6102564102564103,30,0.4,1.5,1,-0.7476428722796412,0.0,-0.6861588890901723,0.0,0.00050413,0.0,0.0
30,2.6589743589743593,30,0.4,1.5,1,-0.746645855585069,0.0,-0.6862612856025555,0.0,0.00050413,0.0,0.0
30,2.707692307692308,30,0.4,1.5,1,-0.7456160711666258,0.0,-0.6861565916741911,0.0,0.00050413,0.0,0.0
30,2.7564102564102564,30,0.4,1.5,1,-0.7447403190426314,0.0,-0.6860366849109796,0.0,0.00050413,0.0,0.0
30,2.805128205128205,30,0.4,1.5,1,-0.7436905908161551,0.0,-0.6859176369046839,0.0,0.00050413,0.0,0.0
30,2.853846153846154,30,0.4,1.5,1,-0.742448977891229,0.0,-0.685918300436931,0.0,0.00050413,0.0,0.0
30,2.902564102564103,30,0.4,1.5,1,-0.7412900069333301,0.0,-0.6860000565875121,0.0,0.00050413,0.0,0.0
30,2.9512820512820515,30,0.4,1.5,1,-0.7402331054120315,0.0,-0.686086186006638,0.0,0.00050413,0.0,0.0
30,3.0,30,0.4,1.5,1,-0.7392610223863691,0.0,-0.6861742522786123,0.0,0.00050413,0.0,0.0
