,step,Lagrangian_val,Train_val,Probability_violations_train,Violations_train,Avg_prob_train,A_norm,lam_list,mu,alpha,alphagrad,gradnorm,grad,Rho
15,15,-24.461045829288974,-5.933917117616971,[0.125],1.4500062920452481,0.125,14.997128000468175,[3.71897732],1,-0.0005940181951460238,tensor(-9.9072),"[np.float64(0.5939048564556139), np.float64(9.167986587962115), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
16,16,-24.528875663879944,-5.946046312042834,[0.11666667],1.4649483356378807,0.11666666666666667,14.997128000468175,[3.71897732],1,0.0006168557366254282,tensor(3.1680),"[np.float64(0.5930981171747757), np.float64(9.168334701917116), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
17,17,-24.585111383668654,-5.97678441901453,[0.11666667],1.5301408925122186,0.11666666666666667,14.997128000468175,[3.71897732],1,0.001268759425037244,tensor(3.2078),"[np.float64(0.5907079867272953), np.float64(9.168822357752822), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
18,18,-24.60538682089232,-6.006525048231188,[0.14166667],1.593294695642658,0.14166666666666666,14.997128000468175,[3.71897732],1,0.0014695029291745857,tensor(2.8037),"[np.float64(0.5887052860785019), np.float64(9.16929082852739), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
19,19,-24.595372759775486,-5.996248799346313,[0.11666667],1.5941516272307812,0.11666666666666667,14.997128000468175,[3.71897732],1,0.0013497278203129235,tensor(3.3945),"[np.float64(0.5887154268710576), np.float64(9.169490730033047), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
20,20,-24.613455889198892,-6.015328123843172,[0.11666667],1.6363886904899596,0.11666666666666667,14.997128000468175,[5.35536601],1,0.0009144578279773472,tensor(3.2727),"[np.float64(0.5870302185360311), np.float64(9.169854806439902), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
21,21,-20.340247958773997,-5.777899260676305,[0.14166667],1.6977194010048633,0.14166666666666666,15.008000932364848,[5.35536601],1,0.00023896946652924656,tensor(3.7225),"[np.float64(0.5849173015597555), np.float64(9.170265515456354), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
22,22,-20.393758245204605,-5.7527242144620665,[0.13333333],1.627341211690174,0.13333333333333333,15.008000932364848,[5.35536601],1,-0.0006736673973596339,tensor(-13.5775),"[np.float64(0.5864585598622473), np.float64(9.17015064438155), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
23,23,-20.382263809776713,-5.711104931972665,[0.125],1.5621211355076798,0.125,15.008000932364848,[5.35536601],1,-4.602826107051314e-05,tensor(-13.2585),"[np.float64(0.5885438936202457), np.float64(9.169802652815989), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
24,24,-20.348982345767432,-5.683698982940504,[0.11666667],1.5320141595870467,0.11666666666666667,15.008000932364848,[5.35536601],1,0.001781934751796504,tensor(4.2090),"[np.float64(0.5898623126722845), np.float64(9.169415641560132), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
25,25,-20.346686037602414,-5.679112826596973,[0.11666667],1.5362818835441332,0.11666666666666667,15.008000932364848,[5.35536601],1,0.0028234097069801587,tensor(4.2116),"[np.float64(0.5899041030140262), np.float64(9.169104545071553), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
26,26,-20.36728600885549,-5.691764115137739,[0.125],1.56813782273342,0.125,15.008000932364848,[5.35536601],1,0.0032354334106641904,tensor(4.0387),"[np.float64(0.588929650735533), np.float64(9.168853447421426), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
27,27,-20.386659190174235,-5.702111567090401,[0.11666667],1.5728856499585653,0.11666666666666667,15.008000932364848,[5.35536601],1,0.003161181316413825,tensor(4.2339),"[np.float64(0.5887286793242177), np.float64(9.16852701177368), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
28,28,-20.407382345378725,-5.72618936282117,[0.13333333],1.6061924020220808,0.13333333333333333,15.008000932364848,[5.35536601],1,0.0026783864837142033,tensor(3.8675),"[np.float64(0.5876169461288547), np.float64(9.168257346680587), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
29,29,-20.421232979975553,-5.731825194408391,[0.125],1.5995694157026983,0.125,15.008000932364848,[5.35536601],1,0.001905397372167748,tensor(4.0570),"[np.float64(0.5879955264869398), np.float64(9.167806270306416), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
30,30,-20.41693885058688,-5.742254647506934,[0.13333333],1.6139129354508501,0.13333333333333333,15.008000932364848,[5.35536601],1,0.0008813015161431192,tensor(3.8718),"[np.float64(0.5880073287200439), np.float64(9.16732978507558), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
31,31,-20.46265059123266,-5.729328275536911,[0.11666667],1.6028327508116795,0.11666666666666667,15.008000932364848,[5.35536601],1,-0.00032515733258716226,tensor(-13.3365),"[np.float64(0.5888336937119224), np.float64(9.166695216887758), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
32,32,-20.442155730285457,-5.734532518104769,[0.125],1.631291018834757,0.125,15.008000932364848,[5.35536601],1,4.3330351864266104e-05,tensor(4.0755),"[np.float64(0.5886021852498445), np.float64(9.166173875577245), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
33,33,-20.465819368548622,-5.735474752763514,[0.13333333],1.6255842033028274,0.13333333333333333,15.008000932364848,[5.35536601],1,-6.943449421142616e-05,tensor(-13.7680),"[np.float64(0.5891113268586408), np.float64(9.165619326509127), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
34,34,-20.460816355934586,-5.705147973846967,[0.11666667],1.5693662340093206,0.11666666666666667,15.008000932364848,[5.35536601],1,0.0012171521441924902,tensor(4.2318),"[np.float64(0.5912958183310524), np.float64(9.164904014291492), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
35,35,-20.454342964289822,-5.69775971876216,[0.11666667],1.5550318779344714,0.11666666666666667,15.008000932364848,[5.35536601],1,0.0018232433730354142,tensor(4.2230),"[np.float64(0.5921050383571117), np.float64(9.164323874420655), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
36,36,-20.45437485106762,-5.708988756442184,[0.125],1.573811593506885,0.125,15.008000932364848,[5.35536601],1,0.0018858142626563405,tensor(4.0420),"[np.float64(0.5917930138654681), np.float64(9.163854347807012), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
37,37,-20.490888082460533,-5.706989085758801,[0.125],1.5814732531898736,0.125,15.008000932364848,[5.35536601],1,0.0015316689471937055,tensor(4.0465),"[np.float64(0.5916858451481767), np.float64(9.163335762970016), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
38,38,-20.479312421862097,-5.694233298910079,[0.125],1.591103493236306,0.125,15.008000932364848,[5.35536601],1,0.0008437037375160476,tensor(4.0521),"[np.float64(0.5917674904892409), np.float64(9.162776453748053), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
39,39,-20.476609653649575,-5.681205618934444,[0.11666667],1.5766950038417658,0.11666666666666667,15.008000932364848,[5.35536601],1,-0.00011187915153633765,tensor(-13.4790),"[np.float64(0.5924668274895485), np.float64(9.162199199912239), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
40,40,-20.491105274830133,-5.683503303784495,[0.11666667],1.5574429275797605,0.11666666666666667,15.008000932364848,[6.91280894],1,0.0004715552908736779,tensor(4.2245),"[np.float64(0.5926039434964001), np.float64(9.161732355110557), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
41,41,-18.03263766247375,-6.320696250661211,[0.225],1.9900865451868457,0.225,14.82602457507508,[6.91280894],1,0.0005158534094255099,tensor(2.2257),"[np.float64(0.5917707806855372), np.float64(9.161353083348793), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
42,42,-20.330362151340488,-6.087026711735965,[0.16666667],1.4094510347057594,0.16666666666666666,14.82602457507508,[6.91280894],1,0.00032871951707432134,tensor(3.6988),"[np.float64(0.6039439391835856), np.float64(9.159159916476302), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
43,43,-21.199865261917736,-5.7895578434249755,[0.15833333],0.9170451329321823,0.15833333333333333,14.82602457507508,[6.91280894],1,-0.00019086581801663297,tensor(-12.3973),"[np.float64(0.6166848920603311), np.float64(9.156804623667723), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
44,44,-21.122700198255856,-5.5080563188783165,[0.13333333],0.6014599786328456,0.13333333333333333,14.82602457507508,[6.91280894],1,0.000633192809190425,tensor(4.1746),"[np.float64(0.6256102913824896), np.float64(9.154764262581933), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
45,45,-20.67712005812619,-5.3830040298598965,[0.1],0.5000856069493185,0.1,14.82602457507508,[6.91280894],1,0.0008749803264476179,tensor(4.9419),"[np.float64(0.6270666158116824), np.float64(9.153478623168557), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
46,46,-21.40493933625529,-5.463247794143588,[0.1],0.5573172911178536,0.1,14.82602457507508,[6.91280894],1,0.0005742173702887964,tensor(4.9801),"[np.float64(0.6192884934595762), np.float64(9.153142577971668), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
47,47,-22.01205656267604,-5.653795290023308,[0.125],0.723216166373686,0.125,14.82602457507508,[6.91280894],1,-0.00016440141021407216,tensor(-14.6357),"[np.float64(0.6066854697906404), np.float64(9.153357823933819), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
48,48,-21.903109510752838,-5.818842233200426,[0.11666667],0.8954914599614116,0.11666666666666667,14.82602457507508,[6.91280894],1,0.0007082750445881249,tensor(4.7717),"[np.float64(0.597376738838539), np.float64(9.153339310856769), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
49,49,-21.668985546452152,-5.929390456820117,[0.125],1.0099313082962675,0.125,14.82602457507508,[6.91280894],1,0.0009292422949449492,tensor(4.6216),"[np.float64(0.5908084297948804), np.float64(9.153114190187733), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
50,50,-21.66497515136126,-5.948469437488327,[0.125],1.0122681812025116,0.125,14.82602457507508,[6.91280894],1,0.000643856247266166,tensor(4.6230),"[np.float64(0.5880946393357919), np.float64(9.152532510698236), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
51,51,-21.823937282273516,-5.915283629082612,[0.125],0.9361323960111816,0.125,14.82602457507508,[6.91280894],1,0.00029855374541943274,tensor(4.5785),"[np.float64(0.5890388791158936), np.float64(9.152044756326323), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
52,52,-21.992672487972552,-5.847472038117313,[0.10833333],0.8145693845501183,0.10833333333333334,14.82602457507508,[6.91280894],1,-0.0002066157117650935,tensor(-15.2401),"[np.float64(0.5917569544105158), np.float64(9.151408395901827), np.float64(0.0), np.float64(2.4250920829558686)]","[[-0.40120894  0.02418514 -0.13161109 -0.04732285]
 [ 0.01020428 -0.38624268 -0.05036608 -0.12361126]]",1.0
