,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
58,0,3.003448275862069,0,0.05,1.0,1.5,-0.6796997472632702,0.105,-0.6752794439192621,0.134,0.002209235,0.0,0.0,-0.6833417070413671,-0.6859683157005128,-0.8170704011332489,-0.8164640701590522,-0.6117293071493193,-0.6325970474325787
49,10,2.2586206896551726,10,0.05,1.0,1.5,-0.7182844768545236,0.105,-0.7032309138783086,0.144,0.002264335,0.0,0.0,-0.7142057224871593,-0.7123187200403744,-0.8303820240707188,-0.8281200869352483,-0.6636719067634829,-0.6552561325823837
56,20,2.837931034482758,20,0.05,1.0,1.5,-0.6647049011826756,0.1,-0.6693302599445281,0.132,0.002157535,0.0,0.0,-0.6820705044582804,-0.6824805222008581,-0.8233305063731708,-0.8110777734983053,-0.6252239556335197,-0.6169646155597281
55,30,2.7551724137931037,30,0.05,1.0,1.5,-0.6706256257701907,0.105,-0.6870385213785339,0.088,0.002349286,0.0,0.0,-0.6715350199505863,-0.6724494816077876,-0.8051611973011528,-0.8079466299230565,-0.6335196809070829,-0.6424716604967735
50,40,2.341379310344828,40,0.05,1.0,1.5,-0.7097797349174193,0.1,-0.6755391196432714,0.15,0.002274245,0.0,0.0,-0.7077108098951145,-0.7055777150479275,-0.8271296211765602,-0.8211661849480801,-0.670698832394405,-0.6303296081706758
52,50,2.5068965517241377,50,0.05,1.0,1.5,-0.6879138478297215,0.095,-0.6957211824708105,0.092,0.002330975,0.0,0.0,-0.684838551482247,-0.6848125460788113,-0.8193773617730874,-0.8267518469906335,-0.6388291147249577,-0.6481341852350626
52,60,2.5068965517241377,60,0.05,1.0,1.5,-0.6904924681518918,0.11,-0.6960426463138467,0.102,0.002730769,0.0,0.0,-0.7004247399824208,-0.6994402013102415,-0.810098499912668,-0.8167224339044993,-0.6312713640104594,-0.6549188208801037
53,70,2.589655172413793,70,0.05,1.0,1.5,-0.6902275650569889,0.105,-0.6849240038868531,0.104,0.002319906,0.0,0.0,-0.6921224594120639,-0.6908906014907424,-0.8309075464813921,-0.8274478259782999,-0.6496140393767007,-0.6340180204245994
52,80,2.5068965517241377,80,0.05,1.0,1.5,-0.6852898048993323,0.1,-0.6826538936507855,0.086,0.002333396,0.0,0.0,-0.6831054036209135,-0.6841157268498539,-0.8171921642421148,-0.8182243182524667,-0.6398519181396495,-0.6297258177917177
59,90,3.086206896551724,90,0.05,1.0,1.5,-0.6810090161331921,0.105,-0.674780983244772,0.078,0.002519367,0.0,0.0,-0.6652496662321465,-0.6667815781467392,-0.8035181808202293,-0.8076433397280912,-0.6102954969449508,-0.6269702743535172
