,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
64,0,3.5,0,0.05,1.0,1.5,-0.6784410577854445,0.085,-0.6707921732093627,0.11,0.002209235,0.0,0.0,-0.6596877279967883,-0.6622099282253956,-0.8140743749648377,-0.8132846570511365,-0.610307213787304,-0.6303518855825901
63,10,3.417241379310345,10,0.05,1.0,1.5,-0.6993823651045218,0.045,-0.6909653192464308,0.05,0.002264335,0.0,0.0,-0.6501661933103955,-0.6482305819018069,-0.8166565887250056,-0.8127235371024665,-0.6514140077142097,-0.6474268675900642
61,20,3.2517241379310344,20,0.05,1.0,1.5,-0.6652318308662286,0.075,-0.6698926744754179,0.086,0.002157535,0.0,0.0,-0.6599772764706003,-0.6600898006438258,-0.8195862832570064,-0.808095808757713,-0.6252337250678602,-0.6173195558763748
64,30,3.5,30,0.05,1.0,1.5,-0.6601720411338088,0.065,-0.6799534857487872,0.042,0.002349286,0.0,0.0,-0.6303871488468907,-0.6315527603227736,-0.7992639171399085,-0.8002828672092003,-0.6269498950368874,-0.6332857661230055
62,40,3.3344827586206898,40,0.05,1.0,1.5,-0.7048613063977327,0.045,-0.6680847637389635,0.072,0.002274245,0.0,0.0,-0.6510945409837666,-0.6482107736740557,-0.8196421259157413,-0.8116465956014799,-0.663746251250211,-0.6264868826074127
60,50,3.1689655172413795,50,0.05,1.0,1.5,-0.6826063205674797,0.055,-0.6813698781670124,0.046,0.002330975,0.0,0.0,-0.6466966943778868,-0.6464609515422888,-0.8099567732376033,-0.8165041545612373,-0.6363955996876555,-0.6426217049177215
60,60,3.1689655172413795,60,0.05,1.0,1.5,-0.6817203308987756,0.055,-0.6930877780276532,0.064,0.002730769,0.0,0.0,-0.6672376290228101,-0.6652821530363123,-0.8025358786304869,-0.8088752740645128,-0.6305346988070908,-0.6488998272863867
58,70,3.003448275862069,70,0.05,1.0,1.5,-0.6893078003509474,0.055,-0.6873639117086106,0.078,0.002319906,0.0,0.0,-0.6682298806706357,-0.6673457508630194,-0.8279987299295993,-0.8240911930191298,-0.6493878950708573,-0.6342267533811148
58,80,3.003448275862069,80,0.05,1.0,1.5,-0.6872135208259051,0.05,-0.6769845449972602,0.056,0.002333396,0.0,0.0,-0.652583805030106,-0.6537868376708802,-0.8117410280506138,-0.8121689643990865,-0.6398341106887515,-0.6261919525268177
64,90,3.5,90,0.05,1.0,1.5,-0.680733321187043,0.08,-0.6756555541519602,0.054,0.002519367,0.0,0.0,-0.6430292315232405,-0.6447052290517677,-0.8011793496490928,-0.8055526210654415,-0.6106691245565231,-0.6258152134433063
