,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,valid_avg,avg_val,valid_cvar,test_cvar
49,0,2.2586206896551726,0,0.05,1.0,1.5,-0.6841045004536752,0.16,-0.6884657285489113,0.16,0.002209235,0.0,0.0,-0.7211797765230794,-0.7239752360231771,-0.8256381551339959,-0.82584548372369,-0.6160809764319617,-0.6380517138292761
44,10,1.8448275862068968,10,0.05,1.0,1.5,-0.7193728119773065,0.155,-0.6992844767966134,0.186,0.002264335,0.0,0.0,-0.7403529000979623,-0.7385624598930156,-0.8363952538453273,-0.8380122678159576,-0.6691525299449271,-0.6525958199908056
51,20,2.424137931034483,20,0.05,1.0,1.5,-0.6676033436716342,0.155,-0.6700481415180655,0.184,0.002157535,0.0,0.0,-0.7051319938614066,-0.7058898167434362,-0.8274166178469358,-0.8144576382962757,-0.6261166669479806,-0.6147283236448391
46,30,2.010344827586207,30,0.05,1.0,1.5,-0.6770817960837245,0.155,-0.6943890703957887,0.156,0.002349286,0.0,0.0,-0.7173518441930679,-0.7182351908578116,-0.8148175114409433,-0.8205857539821428,-0.6417423121010376,-0.647325654850499
44,40,1.8448275862068968,40,0.05,1.0,1.5,-0.7060583255750159,0.155,-0.6855889657253663,0.202,0.002274245,0.0,0.0,-0.7395738313072155,-0.7377741297461887,-0.8337620598681214,-0.8304286447322756,-0.6765289243259252,-0.6309920551823283
45,50,1.9275862068965517,50,0.05,1.0,1.5,-0.689398787143569,0.155,-0.7021243441173043,0.134,0.002330975,0.0,0.0,-0.721994809712203,-0.7220253735112876,-0.8300868451667544,-0.8377621282908816,-0.6398800452658019,-0.6490129892548755
49,60,2.2586206896551726,60,0.05,1.0,1.5,-0.6970167803328539,0.14,-0.6958650543999536,0.122,0.002730769,0.0,0.0,-0.7137088151978176,-0.7131300817005722,-0.8142402049661122,-0.82087883214644,-0.633254248395524,-0.6575397797314306
48,70,2.1758620689655173,70,0.05,1.0,1.5,-0.6887142242552947,0.15,-0.6839861228814973,0.148,0.002319906,0.0,0.0,-0.7171348947863376,-0.7155605360368577,-0.8340491472768085,-0.83147461762088,-0.6489445304347725,-0.6326273794898141
44,80,1.8448275862068968,80,0.05,1.0,1.5,-0.6925039829417791,0.155,-0.6934465818155935,0.156,0.002333396,0.0,0.0,-0.7280476765520976,-0.7288342696954314,-0.8282490929923335,-0.8305198828228092,-0.6355937919007001,-0.6298481044571982
52,90,2.5068965517241377,90,0.05,1.0,1.5,-0.6718323396873933,0.14,-0.6745353316432616,0.138,0.002519367,0.0,0.0,-0.6978105933589699,-0.6991535967474645,-0.8076964405431005,-0.8115198748528444,-0.6075473585490725,-0.6275015908403879
