,step,Validate_val,Lower_validate,Upper_validate,Probability_violations_validate,Violations_validate,Coverage_validate,Avg_prob_validate,Rho
0,"(0,)",-4.319267360816321,-6.493547706821413,0.0,[0.075],0.6845357854367248,0.72,0.075,1.0
1,"(100,)",-4.628660803388408,-6.886334058208487,0.0,[0.105],1.207304877055422,0.67,0.105,1.0
2,"(200,)",-4.643115655087135,-6.9030977428450075,-0.07745871994158782,[0.105],1.234306387134355,0.665,0.105,1.0
3,"(300,)",-4.634667961217288,-6.888506921600776,-0.04863254790882843,[0.11],1.2483563071646957,0.66,0.11,1.0
4,"(400,)",-4.635261540267962,-6.890790876565308,-0.04988130563790838,[0.11],1.2435859916830705,0.66,0.11,1.0
5,"(500,)",-4.6363844641311065,-6.8924421066074935,-0.05366094076706396,[0.11],1.244497826643342,0.66,0.11,1.0
