,step,Validate_val,Lower_validate,Upper_validate,Probability_violations_validate,Violations_validate,Coverage_validate,Avg_prob_validate,Rho
0,"(0,)",-4.0939454420843875,-6.608797931353957,-8.886864577561937e-10,[0.065],1.0377748693172777,0.725,0.065,1.0
1,"(100,)",-4.467195640219363,-7.087955151438614,-0.11951448879340121,[0.09],1.5772346167653157,0.7,0.09,1.0
2,"(200,)",-4.488665473943552,-7.118915784115897,-0.10780024814489875,[0.09],1.6135361731397626,0.685,0.09,1.0
3,"(300,)",-4.503059805925314,-7.14146627925375,-0.10749811756310512,[0.09],1.6300302040189902,0.685,0.09,1.0
4,"(400,)",-4.504834334196345,-7.145071649268699,-0.10754738052349944,[0.09],1.6327755594058053,0.685,0.09,1.0
5,"(500,)",-4.5054753517124615,-7.145715276665786,-0.10759686345009567,[0.09],1.6338460884178783,0.685,0.09,1.0
