,step,Validate_val,Lower_validate,Upper_validate,Probability_violations_validate,Violations_validate,Coverage_validate,Avg_prob_validate,Rho
0,"(0,)",-4.317182485551806,-6.586746726134273,0.0,[0.04],0.34561931178384775,0.835,0.04,1.0
1,"(100,)",-4.751861267153776,-7.036643248802786,0.0,[0.07],0.9881782638144783,0.78,0.07,1.0
2,"(200,)",-4.799686197369895,-7.110987606817982,-0.012103455013749098,[0.07],1.0140866340332302,0.78,0.07,1.0
3,"(300,)",-4.807713544032449,-7.128300778320252,-0.07300725478241477,[0.07],1.0098821785202747,0.785,0.07,1.0
4,"(400,)",-4.809879512251997,-7.129753741068903,-0.07497715632990953,[0.07],1.0138592089645297,0.785,0.07,1.0
5,"(500,)",-4.809160442297376,-7.128823615186667,-0.07647518470942583,[0.07],1.0121266449606732,0.785,0.07,1.0
