,Rho,Test_insample,Test_val,Test_cvar,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_insample,Validate_cvar,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.1,-422.3665910003141,-422.467468889495,-413.74176427766685,-425.7817645368949,-419.84395473725505,[0.398],2.3652262174145937,0.0,0.398,"(0,)",-422.9388329838553,-413.7354605437427,-423.046712176937,[0.375],2.153231431913465,0.375
1,0.18979591836734694,-419.38907847077735,-419.5754928457581,-410.89930658927096,-422.86579490345326,-416.958789261858,[0.294],1.7980897649921692,0.0,0.294,"(0,)",-419.95846012908237,-410.8936451734974,-420.15215711560865,[0.33],1.594349981900765,0.33
2,0.2795918367346939,-416.4426755989065,-416.7135058416963,-408.09184017367363,-419.98012444732296,-414.10657201606034,[0.206],1.407860677836526,0.0,0.206,"(0,)",-417.0091416073768,-408.0862914578989,-417.28743719325297,[0.265],1.127400034013727,0.265
3,0.3693877551020408,-413.5239934444517,-413.87750865709086,-405.30643744565634,-417.1198302806701,-411.2950656831934,[0.164],1.1231079863237796,0.0,0.164,"(0,)",-414.08704307141494,-405.3012677951129,-414.4486322010073,[0.19],0.8115420404559653,0.19
4,0.4591836734693878,-410.6165815639189,-411.0539062155655,-402.53532164482635,-414.27316627984567,-408.4900266461914,[0.128],0.875895467579143,0.0,0.128,"(0,)",-411.1768114657341,-402.5309715533685,-411.6222945952635,[0.135],0.5508824994812987,0.135
5,0.5489795918367347,-407.7171879163583,-408.2380995044904,-399.7828142278262,-411.4310422922222,-405.68787259812063,[0.092],0.6955349531988255,0.0,0.092,"(0,)",-408.27412260994885,-399.77878661727345,-408.80345740982057,[0.075],0.38773486663382706,0.075
6,0.6387755102040816,-404.8289923927505,-405.4325176227538,-397.0347355995497,-408.6113296894135,-402.89436600542746,[0.066],0.5817528626811198,0.0,0.066,"(0,)",-405.38215612116795,-397.03185868426664,-405.9943921054253,[0.07],0.2854499640786722,0.07
7,0.7285714285714286,-401.97223702445433,-402.65328978150944,-394.32108008226334,-405.8099823870106,-400.1309425070163,[0.058],0.5295102159399562,0.0,0.058,"(0,)",-402.5216814784698,-394.32183348183594,-403.21381005010096,[0.06],0.2410983970069177,0.06
8,0.8183673469387756,-399.2500071131126,-399.9948572969099,-391.7197820195378,-403.1671456817512,-397.4851752543572,[0.066],0.5720348748054422,0.0,0.066,"(0,)",-399.7961731056841,-391.7294212944,-400.55645156693254,[0.065],0.32330435560891246,0.065
9,0.9081632653061225,-396.7138893885794,-397.5112626952436,-389.2914912175034,-400.70097973542363,-395.0123015000363,[0.076],0.6313310466829248,0.0,0.076,"(0,)",-397.25730343490454,-389.3033031779372,-398.0758116023181,[0.08],0.41982585165173986,0.08
10,0.9979591836734695,-394.3617048403096,-395.2066870508114,-387.03829900035413,-398.38393904844247,-392.71186258496755,[0.078],0.6842062404915971,0.0,0.078,"(0,)",-394.90271608400303,-387.056234720167,-395.77283362894457,[0.09],0.5044252892093444,0.09
11,1.0877551020408165,-392.1951907194374,-393.0803281514994,-384.9624574823031,-396.31064923644334,-390.6450294175193,[0.09],0.7274630279505077,0.0,0.09,"(0,)",-392.73394993347057,-384.99600107153725,-393.65067220225296,[0.09],0.5965046922777342,0.09
12,1.1775510204081634,-390.21941917866116,-391.12832827513245,-383.0504825162508,-394.2648932287131,-388.6965917861343,[0.122],0.8770126811111236,0.0,0.122,"(0,)",-390.7564937489033,-383.0774586553969,-391.6937822354205,[0.11],0.8087935411239685,0.11
13,1.2673469387755103,-388.40248119953304,-389.348433981602,-381.30592422220224,-392.44228331110486,-386.94923376568545,[0.122],0.832536608177764,0.0,0.122,"(0,)",-388.9376385746938,-381.32665252243646,-389.9100482820467,[0.1],0.7859977284499278,0.1
14,1.3571428571428574,-386.62048044647526,-387.61560383262906,-379.6034486337582,-390.67708725604325,-385.2032127478824,[0.106],0.7238871358941315,0.0,0.106,"(0,)",-387.15365919697666,-379.6337019401965,-388.1767252147303,[0.095],0.7058538375738215,0.095
15,1.4469387755102043,-384.85225443192485,-385.898297360756,-377.91671845428573,-388.97575309991225,-383.48695236501857,[0.094],0.6346912837369102,0.0,0.094,"(0,)",-385.3834056044972,-377.95305743640625,-386.4636541023525,[0.085],0.6246156811163054,0.085
16,1.5367346938775512,-383.0966576984616,-384.1923618827996,-376.24500780626363,-387.2358750119604,-381.7838584511257,[0.082],0.5485057735458835,0.0,0.082,"(0,)",-383.6259077688073,-376.2862376285543,-384.7585404241586,[0.075],0.5470503413392267,0.075
17,1.6265306122448981,-381.35196902086807,-382.49631014556195,-374.57743592458735,-385.5365193002093,-380.0858118791396,[0.072],0.47632696310998157,0.0,0.072,"(0,)",-381.87929904567164,-374.6137268593453,-383.0584219062995,[0.07],0.4781816265483918,0.07
18,1.716326530612245,-379.61620982270574,-380.80894039425556,-372.92005168634745,-383.8424864631106,-378.4128379805429,[0.066],0.40951332700508797,0.0,0.066,"(0,)",-380.14167714887583,-372.9562505962023,-381.36528381760917,[0.06],0.4163121610969522,0.06
19,1.8061224489795922,-377.88752533409024,-379.12876055804395,-371.269436677304,-382.133717961225,-376.7346384789634,[0.054],0.34765167553945925,0.0,0.054,"(0,)",-378.4111095707382,-371.30317234233314,-379.68199165561214,[0.05],0.3635659112655785,0.05
20,1.895918367346939,-376.16608750627086,-377.4560461167815,-369.6260308312636,-380.47950627779323,-375.0640692458768,[0.044],0.29819578460698004,0.0,0.044,"(0,)",-376.687758534203,-369.6585057421121,-378.00549690213165,[0.05],0.31725196616618445,0.05
21,1.985714285714286,-374.4520003617034,-375.79003863266763,-367.9905622565767,-378.81265352440414,-373.4121217199637,[0.04],0.2618539970621109,0.0,0.04,"(0,)",-374.9717901065321,-368.025155599606,-376.3370551148798,[0.045],0.27900141791628935,0.045
22,2.075510204081633,-372.74460199744067,-374.1301355678084,-366.36089187974585,-377.14882172386456,-371.7584298043996,[0.034],0.23028406876764446,0.0,0.034,"(0,)",-373.2625382125345,-366.3942295162312,-374.67508720465054,[0.035],0.24626165176974868,0.035
23,2.16530612244898,-371.04313348296245,-372.4764416368303,-364.7373262854836,-375.4824064954511,-370.11934749011425,[0.026],0.20331855837367974,0.0,0.026,"(0,)",-371.55923942335824,-364.76748724145506,-373.018256418111,[0.03],0.2195549966360344,0.03
24,2.2551020408163267,-369.346771357671,-370.82811300030073,-363.1190649123405,-373.81819938593935,-368.4883366578857,[0.024],0.18170655853727857,0.0,0.024,"(0,)",-369.86106193504327,-363.1464600193857,-371.3667267589198,[0.025],0.1955562880339416,0.025
25,2.344897959183674,-367.65500601747505,-369.18574438062006,-361.50610824081616,-372.13774498932355,-366.8316901345348,[0.022],0.1618996491994419,0.0,0.022,"(0,)",-368.1674775047348,-361.5295079755552,-369.7195799159638,[0.025],0.17126275081910475,0.025
26,2.4346938775510205,-365.968154969729,-367.5477451266593,-359.8980595414337,-370.4990863937011,-365.2018037305887,[0.022],0.14325662598904426,0.0,0.022,"(0,)",-366.47881150683037,-359.9194349245871,-368.07762703836704,[0.02],0.14901167028033518,0.02
27,2.5244897959183676,-364.28591910933403,-365.91263967200007,-358.29394460155265,-368.84071937739,-363.5857435525659,[0.016],0.125260840042973,0.0,0.016,"(0,)",-364.79477337420553,-358.31481449519293,-366.43897474562874,[0.015],0.13266971802685404,0.015
28,2.6142857142857148,-362.6079579586882,-364.2819418925394,-356.6930696197933,-367.23234830366073,-361.961461351141,[0.016],0.11114232141689244,0.0,0.016,"(0,)",-363.1150005191771,-356.7034470120969,-364.80407037911647,[0.015],0.11878197535416564,0.015
