,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
13,100,1.7959183673469388,100,0.5,0.5,1,-403.3720022255025,0.06,-403.49496056452534,0.066
10,110,1.6122448979591837,110,0.4,0.5,1,-407.33171790630496,0.055,-407.2240941917606,0.076
12,120,1.7346938775510203,120,0.5,2.0,1,-401.94189598547143,0.06,-401.7329608163667,0.098
8,130,1.489795918367347,130,0.3,0.5,1,-403.34838713548726,0.06,-403.11086281076285,0.06
8,140,1.489795918367347,140,0.3,1.0,1,-402.5282171501573,0.06,-401.91460197209926,0.056
10,150,1.6122448979591837,150,0.4,2.0,1,-399.81100083672675,0.05,-400.3494079991806,0.056
23,160,2.4081632653061225,160,0.5,2.0,1,-404.0942253388181,0.06,-404.2802287050085,0.078
13,170,1.7959183673469388,170,0.5,0.5,1,-402.9577092955123,0.06,-402.1106900489766,0.058
16,180,1.979591836734694,180,0.4,0.5,1,-403.38119534671773,0.055,-403.24471266177466,0.05
11,190,1.673469387755102,190,0.5,0.5,1,-404.7267653599098,0.06,-404.4041150213539,0.096
