,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
5,100,1.306122448979592,100,0.35,0.5,1,-410.05216931602104,0.15,-409.9958628661963,0.168
4,110,1.2448979591836735,110,0.35,1.0,1,-412.0879708503402,0.155,-411.9064763344384,0.18
8,120,1.489795918367347,120,0.5,2.0,1,-407.0994428772846,0.145,-406.8540506015091,0.156
4,130,1.2448979591836735,130,0.35,1.0,1,-410.4399588794219,0.15,-410.3539241722506,0.152
3,140,1.183673469387755,140,0.3,2.0,1,-409.62985484027774,0.14,-408.92445829399514,0.13
2,150,1.1224489795918366,150,0.33,1.0,1,-406.78974284961333,0.155,-407.1936742851971,0.152
9,160,1.5510204081632653,160,0.5,2.0,1,-412.49673264959785,0.15,-412.5383167115404,0.168
5,170,1.306122448979592,170,0.4,1.0,1,-409.5381390995232,0.155,-408.8518633302384,0.142
5,180,1.306122448979592,180,0.35,1.0,1,-409.3222055313545,0.155,-409.4248142064716,0.15
12,190,1.7346938775510203,190,0.5,1.0,1,-409.9005175060491,0.15,-409.32371439561257,0.174
