,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj
0,0.01,0.0262,-397.2102318237261,-398.5418426234029,-395.53637485503253,0.022,-385.6689163932334,-386.41433634145073,-384.44750712053906,0.0244,-384.38465936222354,-385.75388028591414,-383.48382586274977,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.02,0.034999999999999996,-398.8847905795211,-400.8312066447039,-396.77715971757095,0.031400000000000004,-387.9662278912488,-389.46475893644254,-386.6382430161416,0.033999999999999996,-387.25348777877514,-388.5005562489964,-386.0810295760215,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.03,0.0388,-399.83118669172165,-401.67778453211247,-397.9835002338882,0.037200000000000004,-389.1501880388809,-390.8224468392529,-387.5671716500199,0.038,-388.2100578644916,-389.15455193321,-387.5782196328707,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.04,0.05,-401.0683491791538,-402.8543630335418,-399.72521578457736,0.0468,-390.7282744127312,-392.0981787409749,-389.82378823884164,0.05000000000000001,-390.18231341980584,-391.4640094082771,-389.3825012783709,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.05,0.0694,-403.1866634791808,-404.0839116698877,-401.9636239913186,0.0608,-392.63671898326106,-393.9418417155435,-391.76323145551214,0.064,-392.1025034282726,-392.7766010715152,-391.03796333589685,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.08,0.0978,-406.0003361885162,-407.14301189311715,-404.76048056502077,0.0878,-395.52956892916933,-396.4173834982748,-394.9239301630802,0.08859999999999998,-394.74599201396734,-395.10701705097074,-394.2532571146628,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.09,0.10400000000000001,-406.4095324153313,-407.3592649191057,-404.898763880678,0.0898,-395.76884017724757,-396.4173834982748,-395.4371838395126,0.0924,-395.0573835865847,-395.8221504642677,-394.2629858810724,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.1,0.1166,-407.2755594223066,-408.1997552304086,-406.7177483517736,0.1048,-396.7893195184665,-397.7119930033496,-395.7912956634879,0.10400000000000001,-396.03138226748143,-396.5642138265655,-395.7539783579782,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.12,0.1314,-407.74697800064087,-408.7754136786075,-406.52490605328586,0.11879999999999999,-397.74847794593154,-398.51788097063996,-397.3304463332437,0.11339999999999999,-396.75228146467197,-397.32173636028597,-396.54423301621495,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.14,0.1538,-409.22376812150793,-410.264408845737,-407.7238538457601,0.1446,-399.27283725092013,-399.54136508361205,-398.84706282128565,0.14440000000000003,-398.81771581684364,-399.73479868512595,-398.1975091054368,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.15,0.15719999999999998,-409.536715519745,-410.264408845737,-408.8700120711776,0.14900000000000002,-399.51090310702114,-400.02601967415814,-399.011614631647,0.1522,-399.2182909739627,-399.92979196416763,-398.38399358272517,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.18,0.1954,-409.90609533956314,-412.2466669624318,-408.07305999346465,0.1788,-401.0379224272475,-401.9418635328929,-400.64550378674716,0.1886,-400.97242532805984,-402.26740518530454,-400.03239668153003,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
0,0.2,0.21600000000000003,-411.5822995854934,-412.6726101122289,-410.70795287598963,0.1978,-401.91295110941127,-402.7488390073962,-401.3146585984882,0.2138,-402.1775288555465,-402.83918817306017,-401.4712907370706,1.0,-428.5476721082173,0.6281075603366052,-400.8441585462436,-428.7156611254077,-428.47305227375807,-402.18371867320417,-400.3518035760811
