,mean_Rho,mean_Test_val,mean_Avg_prob_test,mean_Validate_val,mean_Avg_prob_validate,0.25_Rho,0.25_Test_val,0.25_Avg_prob_test,0.25_Validate_val,0.25_Avg_prob_validate,0.75_Rho,0.75_Test_val,0.75_Avg_prob_test,0.75_Validate_val,0.75_Avg_prob_validate
0,1.0,-415.48645245110583,0.692,-416.04594635294234,0.6825,1.0,-415.8836746617652,0.677,-416.44059337830413,0.67,1.0,-415.03181850284886,0.703,-415.58919715788795,0.7
1,1.0612244897959184,-414.68733130015187,0.6498,-415.2458007960202,0.6485000000000001,1.0612244897959184,-415.0745018255706,0.6325000000000001,-415.6303323088764,0.63625,1.0612244897959184,-414.2334775856808,0.66,-414.78975873347935,0.66125
2,1.1224489795918366,-413.8882101772635,0.6128,-414.4456552695814,0.6094999999999999,1.1224489795918366,-414.2829946921598,0.6014999999999999,-414.83857400117716,0.5974999999999999,1.1224489795918366,-413.4351367404254,0.6174999999999999,-413.9903203735177,0.625
3,1.183673469387755,-413.08908904744897,0.5774,-413.64550973773737,0.5685,1.183673469387755,-413.4939716506432,0.5694999999999999,-414.0485262717208,0.56,1.183673469387755,-412.628450394437,0.588,-413.18283266151343,0.57875
4,1.2448979591836735,-412.28996791373663,0.5414,-412.84536418716095,0.5365,1.2448979591836735,-412.7049486518431,0.534,-413.25847852534025,0.525,1.2448979591836735,-411.81832090667535,0.558,-412.37159756939536,0.545
5,1.306122448979592,-411.4908468018255,0.5096,-412.045218670202,0.507,1.306122448979592,-411.915925636896,0.5025,-412.46843081415614,0.49,1.306122448979592,-411.0081914605833,0.5295000000000001,-411.56036250121076,0.515
6,1.3673469387755102,-410.6917256910853,0.47620000000000007,-411.24507315389053,0.471,1.3673469387755102,-411.12690263620345,0.463,-411.6783831082547,0.4525,1.3673469387755102,-410.1980620163886,0.488,-410.7491274399621,0.48
7,1.4285714285714286,-409.89260454011526,0.43979999999999997,-410.4449275926672,0.44400000000000006,1.4285714285714286,-410.3378795089684,0.422,-410.8883352628783,0.42625,1.4285714285714286,-409.38422478863873,0.4605,-409.93466336489536,0.45875
8,1.489795918367347,-409.0934833929474,0.4098,-409.64478204317976,0.41500000000000004,1.489795918367347,-409.5488564761527,0.398,-410.0982875503145,0.405,1.489795918367347,-408.56577934628365,0.423,-409.1151166838553,0.43374999999999997
9,1.5510204081632653,-408.2943622720048,0.3794,-408.84463651043995,0.3765,1.5510204081632653,-408.7598334180805,0.3685,-409.30823978413923,0.355,1.5510204081632653,-407.7473339273129,0.3935,-408.2955700238187,0.39625
10,1.6122448979591837,-407.49524113961934,0.3472,-408.04449097002714,0.348,1.6122448979591837,-407.97081035230906,0.334,-408.5181920208364,0.33,1.6122448979591837,-406.92888850633335,0.3575,-407.4760233624535,0.37124999999999997
11,1.673469387755102,-406.69612001595067,0.322,-407.2443454388632,0.325,1.673469387755102,-407.18371482926545,0.308,-407.73105129358873,0.31,1.673469387755102,-406.1104430515896,0.3325,-406.65647667366153,0.34125
12,1.7346938775510203,-405.89699884652464,0.2944,-406.4441998646197,0.2965,1.7346938775510203,-406.41314500525834,0.2725,-406.95949341845153,0.28125,1.7346938775510203,-405.2919975767935,0.3095,-405.8369299560439,0.30874999999999997
13,1.7959183673469388,-405.0978777008151,0.2694,-405.6440543093638,0.27549999999999997,1.7959183673469388,-405.642575186365,0.2505,-406.1879355520606,0.26,1.7959183673469388,-404.4735520533598,0.28049999999999997,-405.01738318454966,0.28874999999999995
14,1.8571428571428572,-404.2987565549168,0.25020000000000003,-404.84390875706686,0.2635,1.8571428571428572,-404.8720053116323,0.23,-405.4163776348489,0.25,1.8571428571428572,-403.6551065841974,0.2655,-404.1978364892401,0.2775
15,1.9183673469387752,-403.49963542684964,0.2314,-404.04376321840533,0.2425,1.9183673469387752,-404.10143549559666,0.216,-404.6448197715954,0.23,1.9183673469387752,-402.836661153239,0.2475,-403.3782898090972,0.2575
16,1.979591836734694,-402.70051426978796,0.2136,-403.24361765416387,0.2205,1.979591836734694,-403.33086562681245,0.1965,-403.8732618631095,0.21,1.979591836734694,-402.01821571800605,0.2275,-402.5587431303595,0.2375
17,2.0408163265306123,-401.90139312302125,0.19619999999999999,-402.44347210602257,0.1995,2.0408163265306123,-402.56029576609,0.181,-403.1017039492202,0.1875,2.0408163265306123,-401.1997703348955,0.211,-401.739196525769,0.215
18,2.1020408163265305,-401.1022719949009,0.17980000000000002,-401.64332656482327,0.1815,2.1020408163265305,-401.789725982408,0.172,-402.330146113443,0.17,2.1020408163265305,-400.38132492583674,0.1855,-400.9196498648428,0.19
19,2.163265306122449,-400.3031508553056,0.16319999999999998,-400.84318102630175,0.1695,2.163265306122449,-401.0191560650867,0.1515,-401.5585881525617,0.16,2.163265306122449,-399.56287960669204,0.1735,-400.10010330197576,0.18375
20,2.2244897959183674,-399.50402973530527,0.1486,-400.04303549085733,0.1525,2.2244897959183674,-400.24858621110354,0.1365,-400.7870302447784,0.15,2.2244897959183674,-398.74443416520364,0.1615,-399.2805566141329,0.16375
21,2.2857142857142856,-398.70490862707715,0.1336,-399.2428899747189,0.1375,2.2857142857142856,-399.47801639969646,0.121,-400.0154723823429,0.13125,2.2857142857142856,-397.92598870437075,0.146,-398.46100991135427,0.14875
22,2.346938775510204,-397.9057874956232,0.1206,-398.4427444330271,0.12349999999999998,2.346938775510204,-398.7074465877166,0.1085,-399.24391453624935,0.115,2.346938775510204,-397.10754322286294,0.1315,-397.6414631850562,0.13
23,2.4081632653061225,-397.1066663255397,0.10899999999999999,-397.64259885857945,0.1095,2.4081632653061225,-397.9427995737986,0.099,-398.47894672137073,0.1,2.4081632653061225,-396.289097752382,0.118,-396.8219164858563,0.12
24,2.4693877551020407,-396.30754519699155,0.0974,-396.8424533140008,0.099,2.4693877551020407,-397.1889864755051,0.083,-397.7241553310031,0.095,2.4693877551020407,-395.4706523111477,0.105,-396.00236980025625,0.10875
25,2.5306122448979593,-395.508424065486,0.08940000000000001,-396.04230778168665,0.087,2.5306122448979593,-396.4351734528278,0.0785,-396.9693640377669,0.08125,2.5306122448979593,-394.65220687359675,0.092,-395.1828231209778,0.0975
26,2.5918367346938775,-394.70930291937174,0.0794,-395.2421622264168,0.0765,2.5918367346938775,-395.6813602929836,0.067,-396.2145725941654,0.07,2.5918367346938775,-393.83376144884573,0.084,-394.3632764638882,0.08875
27,2.653061224489796,-393.9101817757713,0.071,-394.4420166754204,0.0695,2.653061224489796,-394.92754719262143,0.0605,-395.4597812214775,0.065,2.653061224489796,-393.0153160273565,0.076,-393.5437298006676,0.07875
28,2.7142857142857144,-393.1110606264293,0.0626,-393.64187111888447,0.065,2.7142857142857144,-394.17373409133694,0.0525,-394.7049898227905,0.06125,2.7142857142857144,-392.19687057789383,0.069,-392.72418311079167,0.07
29,2.7755102040816326,-392.31193950344544,0.0586,-392.84172558910575,0.054000000000000006,2.7755102040816326,-393.4199210070754,0.05,-393.95019846452277,0.04625,2.7755102040816326,-391.37842512244714,0.0655,-391.9046364214344,0.05875
30,2.836734693877551,-391.51281836756505,0.0528,-392.04158004542984,0.0495,2.836734693877551,-392.6661079230416,0.0425,-393.19540710190506,0.0425,2.836734693877551,-390.5599797221727,0.061,-391.0850897747974,0.057499999999999996
31,2.8979591836734695,-390.7136972352006,0.045200000000000004,-391.2414345033738,0.0455,2.8979591836734695,-391.9122948172861,0.037,-392.4406157172706,0.036250000000000004,2.8979591836734695,-389.7415343173083,0.052,-390.26554313003635,0.05375
32,2.9591836734693877,-389.9145761140944,0.0408,-390.44128897375685,0.041499999999999995,2.9591836734693877,-391.15848171248774,0.034,-391.6858243319264,0.036250000000000004,2.9591836734693877,-388.9230889067263,0.0465,-389.4459964804132,0.045
33,3.020408163265306,-389.1154549701537,0.0356,-389.6411434218559,0.034999999999999996,3.020408163265306,-390.4046685668552,0.026,-390.93103290062527,0.03125,3.020408163265306,-388.10464347583184,0.042499999999999996,-388.6264498069005,0.04
34,3.0816326530612246,-388.31633383742184,0.0322,-388.8409978802574,0.0305,3.0816326530612246,-389.6508554797051,0.0245,-390.1762415318757,0.025,3.0816326530612246,-387.2861980360279,0.0395,-387.8069031237932,0.0375
35,3.142857142857143,-387.5172127122469,0.028399999999999998,-388.04085234643225,0.027000000000000003,3.142857142857143,-388.89704238730974,0.022,-389.42145015819807,0.02,3.142857142857143,-386.4677526068277,0.032,-386.9873564501315,0.03375
36,3.204081632653061,-386.71809158544136,0.0254,-387.24070681242716,0.024,3.204081632653061,-388.1432293013255,0.0185,-388.6666587917467,0.01625,3.204081632653061,-385.6493071579857,0.03,-386.1678097770996,0.03
37,3.2653061224489797,-385.91897044054343,0.0224,-386.4405612628921,0.0215,3.2653061224489797,-387.3894161833575,0.016,-387.9118673972281,0.01625,3.2653061224489797,-384.83086170947433,0.0275,-385.3482630801449,0.025
38,3.326530612244898,-385.11984930514194,0.0184,-385.6404157158974,0.0205,3.326530612244898,-386.6356031113265,0.012,-387.15707605571504,0.01625,3.326530612244898,-384.0124162779209,0.0235,-384.5287164039086,0.02375
39,3.387755102040816,-384.3207281934122,0.0168,-384.8402701942148,0.018,3.387755102040816,-385.88179001329723,0.012,-386.4022846597618,0.015,3.387755102040816,-383.19397088481173,0.022,-383.7091697635097,0.02
40,3.4489795918367347,-383.5216070441785,0.016,-384.04012464419895,0.016,3.4489795918367347,-385.12797690551645,0.012,-385.6474932721865,0.01,3.4489795918367347,-382.3755254486426,0.0195,-382.889623095834,0.02
41,3.510204081632653,-382.72248591013755,0.014799999999999999,-383.2399791004576,0.014500000000000002,3.510204081632653,-384.3741638137965,0.01,-384.892701903884,0.01,3.510204081632653,-381.55695271038803,0.0195,-382.0700763982027,0.02
42,3.571428571428571,-381.9233647619407,0.013600000000000001,-382.4398335407794,0.014000000000000002,3.571428571428571,-383.62035072490215,0.008,-384.1379105241773,0.01,3.571428571428571,-380.733569047405,0.019,-381.2505297054116,0.02
43,3.63265306122449,-381.12424362486615,0.012199999999999999,-381.63968799818093,0.0115,3.63265306122449,-382.86653769364415,0.008,-383.38311922052566,0.01,3.63265306122449,-379.91018537583454,0.014,-380.4267478963443,0.015
44,3.693877551020408,-380.3251225054234,0.010400000000000001,-380.8395424721745,0.010499999999999999,3.693877551020408,-382.1127245811719,0.006500000000000001,-382.62832781667726,0.01,3.693877551020408,-379.08680164202855,0.0115,-379.6023382285946,0.01375
45,3.7551020408163263,-379.52600135290976,0.0094,-380.03939690830674,0.0095,3.7551020408163263,-381.3589114321234,0.006500000000000001,-381.87353640223614,0.01,3.7551020408163263,-378.26341781932575,0.01,-378.77792845144154,0.01
