,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
17,0,1.220338983050847,0,0.35,1.0,1,-0.9202945433536096,0.1575,-0.9225966602591592,0.121,0.6523509532850563,-0.890021508900839,0.3608201247879524,-0.856143501568878
19,10,1.305084745762712,10,0.4,0.75,1,-0.9230642686379288,0.14,-0.9289533745265398,0.118,0.6667391622614209,-0.8992460088015488,0.364216562008811,-0.8590478815689246
14,20,1.0932203389830508,20,0.4,1.0,1,-0.924301818054382,0.14,-0.9240558698170952,0.157,0.6805655524033362,-0.8770272140103037,0.4074470371374565,-0.8479789630923458
14,30,1.0932203389830508,30,0.33,1.0,1,-0.923069113444808,0.1525,-0.9244105054054668,0.163,0.6280819423308299,-0.9180576338431778,0.3593259263376523,-0.8563818148566822
14,40,1.0932203389830508,40,0.4,1.0,1,-0.9380917589606476,0.14,-0.9249580942481316,0.148,0.6652949948240707,-0.866083882893195,0.3872568736772723,-0.8459449300411975
17,50,1.220338983050847,50,0.35,1.0,1,-0.9202945433536096,0.1575,-0.9225966602591592,0.121,0.6523509532850563,-0.890021508900839,0.3608201247879524,-0.856143501568878
19,60,1.305084745762712,60,0.4,0.75,1,-0.9230642686379288,0.14,-0.9289533745265398,0.118,0.6667391622614209,-0.8992460088015488,0.364216562008811,-0.8590478815689246
14,70,1.0932203389830508,70,0.4,1.0,1,-0.924301818054382,0.14,-0.9240558698170952,0.157,0.6805655524033362,-0.8770272140103037,0.4074470371374565,-0.8479789630923458
14,80,1.0932203389830508,80,0.33,1.0,1,-0.923069113444808,0.1525,-0.9244105054054668,0.163,0.6280819423308299,-0.9180576338431778,0.3593259263376523,-0.8563818148566822
14,90,1.0932203389830508,90,0.4,1.0,1,-0.9380917589606476,0.14,-0.9249580942481316,0.148,0.6652949948240707,-0.866083882893195,0.3872568736772723,-0.8459449300411975
