,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,nonrob_prob,nonrob_obj,scenario_probs,scenario_obj
20,0,1.347457627118644,0,0.35,1.0,1,-0.9190685220094946,0.105,-0.9212297892730604,0.088,0.6523509532850563,-0.890021508900839,0.3608201247879524,-0.856143501568878
23,10,1.4745762711864407,10,0.4,0.75,1,-0.9225519866408296,0.1,-0.9282823542778932,0.068,0.6667391622614209,-0.8992460088015488,0.364216562008811,-0.8590478815689246
16,20,1.1779661016949152,20,0.4,1.0,1,-0.9241192550158344,0.105,-0.9237223705603824,0.119,0.6805655524033362,-0.8770272140103037,0.4074470371374565,-0.8479789630923458
16,30,1.1779661016949152,30,0.33,1.0,1,-0.9228171935331926,0.105,-0.9242124992092764,0.099,0.6280819423308299,-0.9180576338431778,0.3593259263376523,-0.8563818148566822
21,40,1.389830508474576,40,0.45,1.0,1,-0.9321792549247048,0.1075,-0.9216104183936308,0.125,0.6652949948240707,-0.866083882893195,0.3872568736772723,-0.8459449300411975
20,50,1.347457627118644,50,0.35,1.0,1,-0.9190685220094946,0.105,-0.9212297892730604,0.088,0.6523509532850563,-0.890021508900839,0.3608201247879524,-0.856143501568878
23,60,1.4745762711864407,60,0.4,0.75,1,-0.9225519866408296,0.1,-0.9282823542778932,0.068,0.6667391622614209,-0.8992460088015488,0.364216562008811,-0.8590478815689246
16,70,1.1779661016949152,70,0.4,1.0,1,-0.9241192550158344,0.105,-0.9237223705603824,0.119,0.6805655524033362,-0.8770272140103037,0.4074470371374565,-0.8479789630923458
16,80,1.1779661016949152,80,0.33,1.0,1,-0.9228171935331926,0.105,-0.9242124992092764,0.099,0.6280819423308299,-0.9180576338431778,0.3593259263376523,-0.8563818148566822
21,90,1.389830508474576,90,0.45,1.0,1,-0.9321792549247048,0.1075,-0.9216104183936308,0.125,0.6652949948240707,-0.866083882893195,0.3872568736772723,-0.8459449300411975
