,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
0,0,1,0,0.4,1,1,-0.903985610185256,0.0075,-0.8905630263357641,0.008,0.003024959,0.0,0.0
0,10,1,10,0.3,1,1,-0.8434173356405175,0.005,-0.8675406006378289,0.0,0.003202708,0.0,0.0
0,20,1,20,0.4,1,1,-0.8394235397882568,0.0075,-0.8572205049929202,0.0,0.003695768,0.0,0.0
0,30,1,30,0.3,1,1,-0.8638974994942922,0.0125,-0.8829920233476853,0.005,0.00321357,0.0,0.0
0,40,1,40,0.2,1,1,-0.8204492644874612,0.0425,-0.8517903044406263,0.025,0.003221279,0.0,0.0
0,50,1,50,0.3,1,1,-0.8276584044145656,0.0025,-0.8376557327058854,0.001,0.004053516,0.0,0.0
0,60,1,60,0.2,1,1,-0.8697940358422207,0.005,-0.8697529938763021,0.003,0.003454778,0.0,0.0
0,70,1,70,0.4,1,1,-0.8435422804946762,0.01,-0.8288600841014269,0.002,0.003513161,0.0,0.0
0,80,1,80,0.15,1,1,-0.8686362769254709,0.0,-0.8547227211711821,0.0,0.003203419,0.0,0.0
0,90,1,90,0.4,1,1,-0.8869277278948341,0.035,-0.9035890077924088,0.011,0.002939186,0.0,0.0
