,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
36,0,1.1487179487179489,0,0.23,0.75,1,-0.930568251172449,0.0525,-0.9132230074512078,0.038,0.002872094,0.0,0.0
35,10,1.1,10,0.15,1.2,1,-0.9405154747533214,0.0475,-0.9386206195428966,0.053,0.002410171,0.0,0.0
37,20,1.1974358974358976,20,0.15,0.75,1,-0.9704445342817936,0.06,-0.954062680690912,0.053,0.002183611,0.0,0.0
40,30,1.3435897435897437,30,0.15,1.2,1,-0.9410535388465956,0.055,-0.8859242885351885,0.065,0.002849291,0.0,0.0
33,40,0.9629166666666668,40,0.05,0.5,1,-0.9319730722469156,0.06,-0.9174650462549404,0.07,0.002865053,0.0,0.0
36,50,1.1487179487179489,50,0.1,1.0,1,-0.9369720480853831,0.0575,-0.9126181990584756,0.052,0.003092863,0.0,0.0
35,60,1.1,60,0.25,1.5,1,-0.9432223728902412,0.0475,-0.8759802533219313,0.046,0.002677794,0.0,0.0
35,70,1.1,70,0.23,1.2,1,-0.957695624460748,0.06,-0.8882501990490769,0.072,0.002131102,0.0,0.0
36,80,1.1487179487179489,80,0.2,0.75,1,-0.949156540958006,0.05,-0.8746361101919621,0.051,0.002386003,0.0,0.0
35,90,1.1,90,0.2,1.2,1,-0.9134010764490272,0.06,-0.9042604748723084,0.048,0.002741623,0.0,0.0
