,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
25,0,2.495798319327731,0,0.23,1.2,1,-0.8762107396217093,0.0575,-0.8634837522032958,0.082
25,10,2.495798319327731,10,0.35,1.0,1,-0.8727484695509369,0.055,-0.87432276095751,0.062
24,20,2.4159663865546217,20,0.33,1.0,1,-0.867207060394881,0.06,-0.8510720443108606,0.067
40,30,3.6932773109243695,30,0.33,1.2,1,-0.8653517962335249,0.0575,-0.8589323068184065,0.049
25,40,2.495798319327731,40,0.33,1.0,1,-0.8857466004241794,0.06,-0.8702878901637603,0.078
33,50,3.134453781512605,50,0.35,1.2,1,-0.8614810710187913,0.0575,-0.8655507151148375,0.054
29,60,2.815126050420168,60,0.35,1.2,1,-0.8749498810388059,0.06,-0.8597774296386257,0.111
30,70,2.8949579831932772,70,0.23,1.0,1,-0.8699574373279602,0.06,-0.8594849577381451,0.076
34,80,3.214285714285714,80,0.3,0.75,1,-0.8587043311619957,0.0575,-0.8664505378965476,0.052
37,90,3.4537815126050417,90,0.25,1.2,1,-0.8523318632236639,0.0575,-0.8390992713727018,0.11
