,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
13,0,1.53781512605042,0,0.33,1.5,1,-0.8793721352971677,0.11,-0.8708531692405134,0.126
21,10,2.176470588235294,10,0.35,1.0,1,-0.8738730303984305,0.105,-0.8758262325680891,0.089
18,20,1.9369747899159664,20,0.33,1.0,1,-0.8714045950122769,0.11,-0.8551203180351027,0.129
26,30,2.57563025210084,30,0.33,1.2,1,-0.8714273380397276,0.11,-0.8653871378669663,0.111
19,40,2.0168067226890756,40,0.33,1.0,1,-0.889984279718379,0.1075,-0.874525915237537,0.133
24,50,2.4159663865546217,50,0.35,1.2,1,-0.8638428756208879,0.1,-0.8695187053346092,0.096
23,60,2.3361344537815123,60,0.35,1.2,1,-0.8766464137882809,0.105,-0.8626487100385879,0.152
25,70,2.495798319327731,70,0.23,1.0,1,-0.870986307684446,0.11,-0.8607604157173822,0.1
25,80,2.495798319327731,80,0.25,1.2,1,-0.8642178566880097,0.105,-0.8637124312682057,0.082
35,90,3.2941176470588234,90,0.35,0.75,1,-0.8558888738273454,0.1075,-0.8494296894528592,0.12
