,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
15,0,1.6974789915966386,0,0.23,1.2,1,-0.8805700118453962,0.155,-0.8687772281945862,0.183
16,10,1.7773109243697478,10,0.35,1.0,1,-0.8754179957249173,0.1525,-0.8780222821703948,0.133
22,20,2.2563025210084033,20,0.35,0.5,1,-0.875227766815538,0.155,-0.863476236771417,0.178
19,30,2.0168067226890756,30,0.33,1.2,1,-0.8737972696234771,0.1525,-0.8700487055630484,0.144
16,40,1.7773109243697478,40,0.33,1.0,1,-0.8923206812052008,0.1475,-0.8769708503487291,0.163
16,50,1.7773109243697478,50,0.35,1.2,1,-0.8662497869433671,0.1475,-0.8741096405131025,0.162
20,60,2.0966386554621845,60,0.35,1.2,1,-0.8773860500657966,0.1425,-0.8643719206228782,0.174
19,70,2.0168067226890756,70,0.23,1.0,1,-0.8725707940572641,0.155,-0.8628864275043131,0.15
18,80,1.9369747899159664,80,0.25,1.2,1,-0.8695123329621904,0.1475,-0.8677469793381658,0.138
28,90,2.735294117647059,90,0.35,0.75,1,-0.8596487240373155,0.15,-0.8527387406064736,0.156
