,Rho,Test_val,Lower_test,Upper_test,Probability_violations_test,Violations_test,Coverage_test,Avg_prob_test,step,Validate_val,Probability_violations_validate,Violations_validate,Avg_prob_validate
0,0.5,-0.8592791739928256,-0.8783176804369254,-0.8347193336481169,[0.823],0.7930607941821427,0.0,0.823,"(0,)",-0.8592863950318343,[0.8175],0.7494788888867288,0.8175
1,1.0,-0.8555715883514149,-0.8716128444475648,-0.8337927335203756,[0.23],0.06696917420128035,0.0,0.23,"(0,)",-0.8550451183204103,[0.21],0.06875018869224647,0.21
2,2.0,-0.8493744603306236,-0.8653828782673253,-0.8320726314628004,[0.032],0.03072673529824092,0.048,0.032,"(0,)",-0.8483420009745489,[0.0225],0.03066970794567467,0.0225
