,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
23,0,2.3361344537815123,0,0.25,0.75,1,-0.8685232494921431,0.105,-0.8542240670577558,0.139
41,10,3.773109243697479,10,0.23,1.0,1,-0.8637589225212355,0.1025,-0.8533285754986744,0.1
32,20,3.0546218487394956,20,0.25,0.75,1,-0.8654723616978246,0.11,-0.8649450744698927,0.098
31,30,2.974789915966386,30,0.3,0.5,1,-0.8520218048071097,0.11,-0.8535403202807548,0.118
19,40,2.0168067226890756,40,0.1,1.5,1,-0.85846526924911,0.11,-0.8647194427987217,0.11
25,50,2.495798319327731,50,0.15,1.0,1,-0.8529084563714993,0.11,-0.8462213369048175,0.127
21,60,2.176470588235294,60,0.2,1.2,1,-0.8760726027121499,0.11,-0.8676144152230825,0.126
24,70,2.4159663865546217,70,0.23,0.75,1,-0.8680178779949894,0.11,-0.861364594828448,0.095
41,80,3.773109243697479,80,0.2,0.5,1,-0.8522588405071947,0.11,-0.851045143438827,0.091
28,90,2.735294117647059,90,0.3,0.5,1,-0.8612747423538198,0.1075,-0.8638537900747909,0.11
