,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
33,0,3.134453781512605,0,0.25,0.75,1,-0.8622577235351546,0.0575,-0.8496868036578735,0.08
47,10,4.252100840336134,10,0.3,1.0,1,-0.8599807798312523,0.0575,-0.8541338206339023,0.062
45,20,4.092436974789916,20,0.25,0.75,1,-0.8622416450769839,0.06,-0.8609217101172011,0.061
48,30,4.331932773109243,30,0.3,0.5,1,-0.8493972416838592,0.06,-0.8500093794766903,0.057
27,40,2.6554621848739495,40,0.1,1.5,1,-0.8537700545193,0.06,-0.8608793071769199,0.048
44,50,4.012605042016807,50,0.15,1.0,1,-0.8473312287377044,0.06,-0.8406811018610342,0.063
30,60,2.8949579831932772,60,0.2,1.2,1,-0.8692794653649832,0.06,-0.8600944677200637,0.058
32,70,3.0546218487394956,70,0.23,1.0,1,-0.8622111222714689,0.06,-0.8529221269209097,0.073
64,80,5.609243697478991,80,0.2,0.5,1,-0.8499320234082327,0.06,-0.8481420343145148,0.043
39,90,3.61344537815126,90,0.3,0.5,1,-0.8563800176618941,0.06,-0.8595510100136325,0.065
