,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
15,0,1.6974789915966386,0,0.25,0.75,1,-0.8754677792254517,0.1575,-0.859570123749128,0.21
29,10,2.815126050420168,10,0.23,1.0,1,-0.8672995360901856,0.1575,-0.8564406545842518,0.157
24,20,2.4159663865546217,20,0.25,0.75,1,-0.8683212616346,0.1525,-0.8687510377242592,0.143
19,30,2.0168067226890756,30,0.3,0.75,1,-0.8560356011079054,0.155,-0.8575303547060222,0.166
23,40,2.3361344537815123,40,0.25,1.2,1,-0.8611003833634018,0.1525,-0.8603397761951426,0.139
19,50,2.0168067226890756,50,0.15,1.0,1,-0.8551956021965964,0.15,-0.8484352418630485,0.148
18,60,1.9369747899159664,60,0.2,1.2,1,-0.8785400799814974,0.145,-0.8702278528344367,0.152
15,70,1.6974789915966386,70,0.23,0.75,1,-0.8754645619610112,0.155,-0.869518519955067,0.174
26,80,2.57563025210084,80,0.2,0.5,1,-0.8550501186586809,0.155,-0.8545248834801895,0.136
21,90,2.176470588235294,90,0.3,0.5,1,-0.865432372414432,0.155,-0.8674882108858725,0.161
