,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
11,0,1.673469387755102,0,0.3,0.5,1,-414.23695082303334,0.15,-414.0570768308609,0.16
5,10,1.306122448979592,10,0.3,1.0,1,-413.0498550148378,0.15,-412.82192550973446,0.128
8,20,1.489795918367347,20,0.3,1.0,1,-415.1183742170384,0.14,-414.88464717684104,0.14
9,30,1.5510204081632653,30,0.15,2.0,1,-412.3985321808736,0.14,-412.30889976166026,0.1
3,40,1.183673469387755,40,0.15,1.0,1,-410.6904470369645,0.15,-410.51028943645247,0.076
