,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
13,0,1.53781512605042,0,0.35,1.2,1,-0.8734482953159975,0.155,-0.8662599214180843,0.216
14,10,1.6176470588235294,10,0.3,1.0,1,-0.9010759633190116,0.155,-0.8659532829150858,0.232
16,20,1.7773109243697478,20,0.05,0.75,1,-0.8595706462072258,0.14,-0.8424783258271449,0.14
21,30,2.176470588235294,30,0.33,1.2,1,-0.8993307653190328,0.145,-0.9038322741688782,0.168
23,40,2.3361344537815123,40,0.33,1.0,1,-0.8545021187232219,0.145,-0.8565627435991985,0.168
14,50,1.6176470588235294,50,0.1,1.2,1,-0.8916372562399079,0.155,-0.8505923915005058,0.2
18,60,1.9369747899159664,60,0.3,1.2,1,-0.8856834788595342,0.14,-0.8821441460922358,0.154
19,70,2.0168067226890756,70,0.35,1.5,1,-0.884927216077847,0.155,-0.8781680818283076,0.178
19,80,2.0168067226890756,80,0.3,1.5,1,-0.8977004577665607,0.145,-0.8714214437828017,0.15
21,90,2.176470588235294,90,0.3,1.0,1,-0.8770602783435097,0.155,-0.8628887149340767,0.19
