,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
5,0,1.306122448979592,0,0.4,0.5,1,-410.5585054847614,0.14,-410.1598677215757,0.168
7,10,1.4285714285714286,10,0.5,1.0,1,-411.8099391402983,0.145,-411.33308535183966,0.186
8,20,1.489795918367347,20,0.5,1.0,1,-407.59516468020126,0.145,-407.2432576404314,0.164
4,30,1.2448979591836735,30,0.35,2.0,1,-406.41164684988706,0.155,-405.1925969868918,0.164
11,40,1.673469387755102,40,0.5,1.0,1,-411.0617609225429,0.14,-410.89423036333744,0.154
5,50,1.306122448979592,50,0.4,1.0,1,-407.5647357219859,0.14,-407.5530830545629,0.164
9,60,1.5510204081632653,60,0.4,2.0,1,-410.9482001041648,0.155,-410.75001361441593,0.174
4,70,1.2448979591836735,70,0.35,1.0,1,-409.7807623545781,0.145,-409.300667528591,0.156
2,80,1.1224489795918366,80,0.3,0.5,1,-406.3882882272635,0.14,-405.8677901646151,0.126
7,90,1.4285714285714286,90,0.5,1.0,1,-409.0941560667426,0.155,-408.78737707812945,0.144
