,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
10,0,1.6122448979591837,0,0.35,1.0,1,-402.0728677346001,0.06,-401.9998233195096,0.072
6,10,1.3673469387755102,10,0.33,1.0,1,-407.14135828202336,0.06,-406.67705328004007,0.11
10,20,1.6122448979591837,20,0.3,1.0,1,-401.26545590061977,0.06,-401.06010635441737,0.05
12,30,1.7346938775510203,30,0.4,0.5,1,-403.54666655125305,0.06,-402.4921246595296,0.076
18,40,2.1020408163265305,40,0.5,1.0,1,-404.6344552844725,0.05,-404.5215980976252,0.062
7,50,1.4285714285714286,50,0.33,0.5,1,-402.3015231826107,0.06,-402.2115378927521,0.064
10,60,1.6122448979591837,60,0.3,1.0,1,-403.8560584640141,0.055,-403.4207644349488,0.072
16,70,1.979591836734694,70,0.4,0.5,1,-403.6156933145015,0.06,-403.1594943919039,0.1
8,80,1.489795918367347,80,0.2,2.0,1,-404.06800732745546,0.06,-403.9347148126724,0.064
5,90,1.306122448979592,90,0.3,0.5,1,-400.9046233247957,0.06,-400.504188091222,0.056
