,target,test_prob,test_obj,0.25_test_obj,0.75_test_obj,test_prob_o,test_obj_o,0.25_test_obj_o,0.75_test_obj_o,mv_prob,mv_obj,0.25_mv_obj,0.75_mv_obj,pre_prob,pre_obj,0.25_pre_obj,0.75_pre_obj,dro_prob,dro_obj,0.25_dro_obj,0.75_dro_obj,nonrob_prob,nonrob_obj,scenario_prob,scenario_obj,0.25_nonrob_obj,0.75_nonrob_obj,0.25_scenario_obj,0.75_scenario_obj
0,0.01,0.0012000000000000001,-0.8343216500055013,-0.851450837745928,-0.8120489874569201,0.007999999999999998,-0.8232922674295434,-0.8270510760138112,-0.801191559007084,0.028000000000000004,-0.7953789252327752,-0.8009864855723456,-0.7822261117515209,0.0252,-0.7945386530742813,-0.8035780959443637,-0.7835085253664914,0.029600000000000005,-0.798526233114386,-0.811717281883487,-0.7767362400532346,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.02,0.029200000000000004,-0.8386703802541475,-0.8672264710365895,-0.827586117412193,0.012,-0.8201691870852004,-0.8102903671847796,-0.7999734038496408,0.038400000000000004,-0.7964345294259685,-0.8017959100611713,-0.7846941412973136,0.0344,-0.7953431350247538,-0.8039252512211328,-0.7836762697928075,0.04,-0.7997425107089736,-0.8129265927768075,-0.779456280384796,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.03,0.0388,-0.8265985804173074,-0.843920400755176,-0.8025096834472756,0.0116,-0.8193035283408914,-0.8248367769668965,-0.7999734038496408,0.038400000000000004,-0.7964345294259685,-0.8017959100611713,-0.7846941412973136,0.038400000000000004,-0.795907734278561,-0.8063958845589037,-0.7842982817680842,0.04,-0.7997425107089736,-0.8129265927768075,-0.779456280384796,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.05,0.06640000000000001,-0.8472450072041318,-0.874606098789939,-0.8099188488595404,0.0372,-0.8109299657745209,-0.8669257062329412,-0.7942323695426008,0.06839999999999999,-0.799732065470016,-0.8035436881877404,-0.788924056709467,0.06800000000000002,-0.7976919466636161,-0.807372574444111,-0.7870170052433346,0.06400000000000002,-0.8024030586054425,-0.8147681310179449,-0.7802461937715599,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.08,0.1028,-0.8350571659468132,-0.8597831356846006,-0.8068176679446952,0.09040000000000001,-0.8419829883102479,-0.8796906913519984,-0.8186903556117858,0.1036,-0.8033931888732242,-0.8088887017223061,-0.791199751517195,0.096,-0.7990315549349378,-0.8094601669945726,-0.789414979344196,0.0988,-0.8058789102670039,-0.8190028628317967,-0.782573007380954,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.1,0.1312,-0.8275623923135631,-0.862702666875972,-0.7852643113775486,0.096,-0.833234448155413,-0.8784815500412325,-0.7954276285633914,0.11680000000000001,-0.8051115062840439,-0.8100340729509127,-0.7922804817591926,0.12840000000000001,-0.8008458468707473,-0.811180820820788,-0.7926902444544484,0.11000000000000001,-0.8070298840450845,-0.8200912962761697,-0.7833390977925319,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.12,0.14559999999999998,-0.8377959049195194,-0.8697680414462966,-0.8056756067932034,0.0964,-0.8323853371327511,-0.875170891988987,-0.7954276285633914,0.1368,-0.8073303200021412,-0.8140732531054695,-0.7953216540462633,0.134,-0.8012796735129648,-0.8114270363667886,-0.7933287861267655,0.11600000000000002,-0.8078252225488844,-0.8202631830346541,-0.7840100145251279,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.15,0.18159999999999998,-0.8342634728308441,-0.8680103990931683,-0.8038577761384578,0.1176,-0.8172937187778159,-0.8513986305119818,-0.7591876876203438,0.15360000000000001,-0.8098514857358963,-0.8173852393193844,-0.7982389881674561,0.1524,-0.8022634044717863,-0.8128006347296121,-0.7942724969888076,0.1548,-0.8109066883830465,-0.8230162349364549,-0.7859106841892356,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.18,0.188,-0.8321199056373144,-0.8448957006673634,-0.8090993030813658,0.12,-0.8085555233083823,-0.8403663538690174,-0.7551575044290592,0.1756,-0.8156785295604271,-0.8273479538605015,-0.8031347737040674,0.18239999999999998,-0.8041255941238303,-0.8174112227587853,-0.7949571274509721,0.184,-0.8134882763203907,-0.8266291347073409,-0.7880442636533372,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
0,0.2,0.2324,-0.8398043001944909,-0.8890033125820784,-0.7906539431456021,0.12,-0.8085555233083823,-0.8403663538690174,-0.7551575044290592,0.1976,-0.8183625166657278,-0.8324389883927019,-0.8062995746311188,0.2104,-0.8057904990611015,-0.8193580176038524,-0.7960924035380937,0.2084,-0.8168765333927352,-0.8324711752218454,-0.790923676477209,0.6655443861693862,-0.8534854930313089,0.4063613800415271,-0.800115097514188,-0.8810761801950597,-0.8276618311551824,-0.8106405432173902,-0.7905244536981209
