,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover
44,0,1.5384615384615383,0,0.35,0.5,1,-0.9604650859600574,0.06,-0.9102005254827372,0.052,0.00043984,0.0,0.0
35,10,1.1,10,0.1,1.0,1,-0.934532865592498,0.05,-0.7853438769063462,0.012,0.00048373,0.0,0.0
33,20,0.9629166666666668,20,0.15,0.75,1,-0.8712278320370375,0.05,-0.8862327233405274,0.06,0.00049458,0.0,0.0
44,30,1.5384615384615383,30,0.35,1.2,1,-0.9537539926728008,0.06,-0.699086064356602,0.072,0.00048711,0.0,0.0
43,40,1.4897435897435898,40,0.3,1.5,1,-0.9732680317790944,0.05,-0.9021320984985428,0.036,0.00056247,0.0,0.0
36,50,1.1487179487179489,50,0.1,1.0,1,-0.8227694703503333,0.05,-0.8071970126035836,0.036,0.00037718,0.0,0.0
37,60,1.1974358974358976,60,0.2,0.5,1,-0.833661199366152,0.05,-0.8513081776064516,0.036,0.00037906,0.0,0.0
34,70,1.0,70,0.1,0.75,1,-0.8632496063671432,0.06,-0.8181253514799994,0.076,0.00039681,0.0,0.0
49,80,1.7820512820512822,80,0.3,0.5,1,-0.8288231160438166,0.05,-0.8188523764281757,0.048,0.00050572,0.0,0.0
36,90,1.1487179487179489,90,0.23,1.0,1,-1.0507275843460977,0.06,-0.8821003800696241,0.092,0.00051181,0.0,0.0
