,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
37,0,3.4537815126050417,0,0.35,0.75,1,-0.8792657182263812,0.06,-0.8691985531038326,0.064
47,10,4.252100840336134,10,0.4,0.5,1,-0.879172377047024,0.06,-0.873385022637793,0.07
44,20,4.012605042016807,20,0.35,0.5,1,-0.8776754833427717,0.06,-0.8661289464313806,0.07
27,30,2.6554621848739495,30,0.23,0.75,1,-0.8885461500947772,0.06,-0.8773704656626099,0.079
23,40,2.3361344537815123,40,0.35,1.2,1,-0.8890464004940956,0.06,-0.8742867795528566,0.105
31,50,2.974789915966386,50,0.33,0.5,1,-0.8791097533445352,0.0575,-0.8715825567920062,0.086
29,60,2.815126050420168,60,0.25,0.75,1,-0.8768333203010096,0.06,-0.8757756862991003,0.088
21,70,2.176470588235294,70,0.2,1.0,1,-0.8768654373484999,0.06,-0.872785089154991,0.049
106,80,8.96218487394958,80,0.4,0.5,1,-0.8522751932438571,0.06,-0.8651070958249063,0.022
25,90,2.495798319327731,90,0.23,1.0,1,-0.8864386304719446,0.06,-0.8781623954513538,0.074
