,step,Validate_val,Lower_validate,Upper_validate,Probability_violations_validate,Violations_validate,Coverage_validate,Avg_prob_validate,Rho
0,"(0,)",-4.278598874048481,-6.649632768639227,0.0,[0.07],1.7979485375187758,0.755,0.07,1.0
1,"(100,)",-4.245133093659002,-6.723495119372208,0.0,[0.075],1.9405171037114923,0.745,0.075,1.0
2,"(200,)",-4.181261250111873,-6.652389217995637,0.0,[0.07],1.6783367969720377,0.745,0.07,1.0
3,"(300,)",-4.171851858571269,-6.640444686272777,0.0,[0.07],1.6767032536638389,0.74,0.07,1.0
4,"(400,)",-4.17252579111408,-6.642777306077226,0.0,[0.07],1.6848997549064413,0.74,0.07,1.0
5,"(500,)",-4.172807767478855,-6.643126039131398,0.0,[0.07],1.6852400469905586,0.74,0.07,1.0
