,step,Validate_val,Lower_validate,Upper_validate,Probability_violations_validate,Violations_validate,Coverage_validate,Avg_prob_validate,Rho
0,"(0,)",-4.1959111210343325,-6.6739249738805135,0.0,[0.035],1.5141470553733323,0.745,0.035,1.0
1,"(100,)",-4.634767431023963,-7.18214718061841,-0.0028145687254597096,[0.075],2.716230101175321,0.695,0.075,1.0
2,"(200,)",-4.651731902855406,-7.183133568700136,0.0,[0.075],2.7982315335692025,0.685,0.075,1.0
3,"(300,)",-4.6450618027277795,-7.174914940916091,0.0,[0.075],2.76920702048943,0.685,0.075,1.0
4,"(400,)",-4.649318888753856,-7.178914458036752,0.0,[0.075],2.785796277469686,0.685,0.075,1.0
5,"(500,)",-4.649248195285134,-7.178572407149327,0.0,[0.075],2.785135634044887,0.685,0.075,1.0
