,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
42,0,3.852941176470588,0,0.33,0.75,1,-0.824231275951096,0.11,-0.8562498656265518,0.08
31,10,2.974789915966386,10,0.35,1.0,1,-0.8802590185137632,0.11,-0.8550573444819033,0.16
56,20,4.970588235294118,20,0.15,1.2,1,-0.8308683705275112,0.1,-0.847279830272674,0.084
27,30,2.6554621848739495,30,0.33,0.75,1,-0.8736924002707375,0.11,-0.8706981871073404,0.136
30,40,2.8949579831932772,40,0.35,1.2,1,-0.8919453971041347,0.11,-0.8564962175615033,0.156
36,50,3.3739495798319323,50,0.33,1.2,1,-0.8884246353244568,0.11,-0.8715755879569228,0.116
47,60,4.252100840336134,60,0.35,1.0,1,-0.8763174510284997,0.11,-0.8390798580472557,0.12
87,70,7.445378151260504,70,0.1,0.5,1,-0.8646291057067549,0.11,-0.8440365533733224,0.048
49,80,4.411764705882353,80,0.2,1.0,1,-0.8751866129114151,0.1,-0.8386880896468795,0.14
65,90,5.6890756302521,90,0.23,0.75,1,-0.8360096481780482,0.11,-0.8202913860358708,0.168
