,seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob
54,0,4.810924369747899,0,0.33,0.75,1,-0.8225669084206909,0.06,-0.8535489757696451,0.024
39,10,3.61344537815126,10,0.35,1.0,1,-0.8750418219329846,0.06,-0.8531629362306309,0.096
53,20,4.73109243697479,20,0.23,1.0,1,-0.836940490969726,0.05,-0.8613218851356446,0.052
32,30,3.0546218487394956,30,0.33,0.75,1,-0.8720623843422256,0.06,-0.8688705036191768,0.104
43,40,3.9327731092436977,40,0.35,1.2,1,-0.8816858649881659,0.06,-0.8502764434300588,0.088
43,50,3.9327731092436977,50,0.33,1.2,1,-0.8855902232465589,0.06,-0.8701814880462266,0.072
51,60,4.571428571428571,60,0.35,1.0,1,-0.8741345672886911,0.06,-0.8392148159788025,0.092
110,70,9.281512605042016,70,0.1,0.5,1,-0.8635776009396899,0.06,-0.8428790623095724,0.032
53,80,4.73109243697479,80,0.2,1.0,1,-0.875263180527661,0.06,-0.8378202233076446,0.128
101,90,8.563025210084033,90,0.23,0.75,1,-0.8364091276515013,0.05,-0.8226097234818393,0.088
