seed,rho,a_seed,eta,gamma,init_rho,valid_obj,valid_prob,test_obj,test_prob,time,valid_cover,test_cover,valid_in,test_in,avg_val,valid_cvar,test_cvar
6,0.4,6,0.05,1,1,0.0,0.2775,0.0,0.272,0.000223315,0.0925,0.086,-7.098458256548916,-7.126028378574462,-5.959432189130402,1.9526445616405792,1.4232896169622502
6,0.44102564102564107,6,0.05,1,1,0.0,0.2575,0.0,0.253,0.000223315,0.125,0.115,-6.953857227145263,-6.978397350069377,-5.916017609473025,1.8656413072390938,1.3615840034652609
6,0.48205128205128206,6,0.05,1,1,0.0,0.23,0.0,0.236,0.000223315,0.14,0.14,-6.809256192148625,-6.830766315312811,-5.866069033819765,1.7417178320204567,1.303131533897774
6,0.5230769230769231,6,0.05,1,1,0.0,0.22,0.0,0.221,0.000223315,0.15,0.157,-6.664655153130537,-6.683135277367902,-5.809922453858413,1.6623895426398438,1.2658333192981706
6,0.5641025641025641,6,0.05,1,1,0.0,0.21,0.0,0.21,0.000223315,0.18,0.189,-6.520054112880521,-6.535504237760957,-5.748065694235216,1.5858141302297384,1.1827684831504262
6,0.6051282051282052,6,0.05,1,1,0.0,0.2025,0.0,0.194,0.000223315,0.2025,0.216,-6.375453074346421,-6.387873199484662,-5.6813324545945365,1.4945793047311182,1.140506767728613
6,0.6461538461538462,6,0.05,1,1,0.0,0.1875,0.0,0.176,0.000223315,0.2325,0.24,-6.230852040624907,-6.240242167834669,-5.6075900909452105,1.4602613760712337,1.0850863408228066
6,0.6871794871794872,6,0.05,1,1,0.0,0.1725,0.0,0.165,0.000223315,0.2525,0.271,-6.078289821579502,-6.085477912724241,-5.529557415902492,1.4091813415628973,1.0189360293185685
6,0.7282051282051283,6,0.05,1,1,0.0,0.16,0.0,0.148,0.000223315,0.28,0.3,-5.9046945547924174,-5.911368433390109,-5.45713616321869,1.35444469345022,0.9964521980128206
6,0.7692307692307693,6,0.05,1,1,0.0,0.1525,0.0,0.136,0.000223315,0.31,0.331,-5.724703605873085,-5.729853947746967,-5.386997959712191,1.0951028298304357,0.7494263555124908
6,0.8102564102564103,6,0.05,1,1,0.0,0.15,0.0,0.128,0.000223315,0.3625,0.368,-5.526926197325024,-5.526577207625289,-5.3227373112827,1.0702975093029463,0.7173097340043482
6,0.8512820512820514,6,0.05,1,1,0.0,0.135,0.0,0.114,0.000223315,0.3875,0.401,-5.32914879193817,-5.323300470739263,-5.255412887452036,1.0348630584405338,0.6941809618108954
6,0.8923076923076924,6,0.05,1,1,0.0,0.125,0.0,0.103,0.000223315,0.405,0.429,-5.130031536789595,-5.118823227742463,-5.184094890750001,0.9985201787244555,0.6699833513251165
6,0.9333333333333333,6,0.05,1,1,0.0,0.12,0.0,0.094,0.000223315,0.4525,0.464,-4.911765462176601,-4.895593131711254,-5.095306773085562,0.9853587331156491,0.6500787916257991
6,0.9743589743589743,6,0.05,1,1,0.0,0.1125,0.0,0.091,0.000223315,0.4975,0.493,-4.693146787177122,-4.672006723224786,-5.004868879374091,0.9528147961702083,0.6364433072352812
6,1.0153846153846153,6,0.05,1,1,0.0,0.105,0.0,0.082,0.000223315,0.52,0.526,-4.474528113517649,-4.448420315944566,-4.913172887208174,0.9228426413026758,0.6229341708540926
6,1.0564102564102564,6,0.05,1,1,0.0,0.1,0.0,0.075,0.000223315,0.5425,0.558,-4.255909439382004,-4.2248339081393835,-4.819361868858695,0.8925182989822543,0.6042681002685766
6,1.0974358974358975,6,0.05,1,1,0.0,0.0825,0.0,0.067,0.000223315,0.57,0.581,-4.024790714915437,-3.9862474399510592,-4.722484322276838,0.8759876043601769,0.5870255277847796
